previous,duration,pdays,day,campaign,balance,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
0,669,0,26,1,1312,entrepreneur,married,secondary,no,yes,no,cellular,nov,unknown,1,yes
0,77,1,21,1,328,management,married,tertiary,no,yes,no,cellular,nov,unknown,1,unpref
0,387,0,23,2,-203,technician,divorced,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,187,0,29,3,728,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,292,0,4,3,1943,blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,1,unpref
0,416,0,18,1,-1099,services,single,secondary,no,yes,no,cellular,may,unknown,1,unpref
2,116,274,25,24,1115,services,married,secondary,no,no,no,cellular,jul,failure,1,unpref
0,119,0,28,1,1085,technician,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,373,0,2,1,-515,blue-collar,married,secondary,no,no,no,unknown,jun,unknown,1,unpref
0,341,0,4,1,1116,admin.,single,secondary,no,no,yes,cellular,feb,unknown,1,unpref
0,243,0,21,1,2964,technician,married,secondary,no,no,no,unknown,jun,unknown,1,unpref
0,293,0,26,1,939,technician,divorced,secondary,no,no,no,cellular,jul,unknown,1,unpref
0,1099,0,12,2,1837,admin.,single,secondary,no,yes,no,unknown,jun,unknown,1,unpref
0,467,0,13,1,2132,retired,married,secondary,no,no,no,cellular,apr,unknown,unpriv,yes
0,458,0,7,1,-3009,technician,single,tertiary,no,no,no,cellular,jul,unknown,1,unpref
0,68,0,14,1,22000,housemaid,divorced,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,110,0,17,1,1671,management,single,tertiary,no,yes,no,unknown,may,unknown,1,unpref
0,181,1,26,3,2833,technician,single,secondary,no,no,no,unknown,may,unknown,1,unpref
0,101,0,30,1,1237,blue-collar,married,primary,no,yes,no,telephone,jul,unknown,1,unpref
0,446,0,22,5,150,blue-collar,married,primary,no,no,no,cellular,jul,unknown,1,unpref
0,90,0,17,1,-2872,self-employed,divorced,secondary,no,yes,no,unknown,jun,unknown,1,unpref
0,402,0,20,1,24835,self-employed,single,tertiary,no,yes,no,cellular,nov,unknown,1,yes
6,403,138,22,1,907,management,married,secondary,no,yes,yes,cellular,nov,failure,1,unpref
0,128,0,7,1,2602,technician,single,secondary,no,yes,yes,cellular,feb,unknown,1,unpref
0,169,0,21,1,122,services,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,44,0,26,1,1751,blue-collar,single,primary,no,no,no,cellular,apr,unknown,1,unpref
0,748,0,22,9,-749,blue-collar,single,primary,no,yes,no,cellular,may,unknown,1,unpref
0,116,0,4,1,4572,blue-collar,divorced,secondary,no,no,no,cellular,aug,unknown,1,unpref
0,89,0,14,2,508,services,married,secondary,yes,yes,yes,unknown,jun,unknown,1,unpref
0,78,0,5,1,685,management,single,secondary,no,no,no,cellular,feb,unknown,1,unpref
0,38,0,12,1,-2362,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1,unpref
0,381,0,22,9,1851,management,single,tertiary,no,yes,no,cellular,nov,unknown,1,unpref
0,19,9,6,3,-224,blue-collar,divorced,primary,no,yes,yes,cellular,may,unknown,1,unpref
0,202,0,20,2,-1650,blue-collar,married,secondary,no,no,yes,unknown,jun,unknown,1,unpref
2,310,319,28,14,3623,management,single,secondary,no,yes,no,cellular,aug,failure,1,yes
0,394,0,13,3,-1061,technician,single,tertiary,no,yes,no,unknown,may,unknown,1,unpref
0,366,0,17,1,-74,admin.,married,secondary,no,no,yes,unknown,jun,unknown,1,unpref
0,1530,0,7,1,-1620,entrepreneur,married,primary,no,no,no,unknown,jun,unknown,1,unpref
0,904,0,21,1,11444,retired,married,tertiary,no,yes,no,cellular,nov,unknown,1,unpref
0,77,1,7,1,213,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,160,75,13,3,303,admin.,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,494,0,30,2,1646,admin.,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
4,255,104,4,1,-517,retired,married,primary,no,no,no,telephone,oct,other,unpriv,unpref
0,537,0,11,1,425,services,single,secondary,no,no,no,unknown,may,unknown,1,unpref
0,58,0,22,17,1134,admin.,married,secondary,no,yes,no,telephone,jul,unknown,1,unpref
0,66,0,17,1,2275,technician,married,secondary,no,no,yes,cellular,jul,unknown,1,unpref
0,195,0,17,1,-1714,admin.,single,tertiary,no,yes,no,cellular,nov,unknown,1,unpref
0,244,0,23,2,972,blue-collar,divorced,primary,no,no,no,unknown,jun,unknown,1,unpref
3,113,153,6,2,2690,management,married,tertiary,no,no,no,cellular,may,success,1,unpref
0,157,0,16,1,2107,management,married,tertiary,no,no,no,cellular,aug,unknown,1,yes
0,577,0,23,3,5790,blue-collar,divorced,secondary,no,no,no,cellular,aug,unknown,1,unpref
0,249,0,9,5,1452,housemaid,single,primary,no,no,no,cellular,aug,unknown,1,unpref
0,218,0,4,6,631,blue-collar,married,secondary,no,no,yes,unknown,jun,unknown,1,unpref
1,186,203,14,1,2828,self-employed,married,secondary,no,yes,no,cellular,nov,failure,1,unpref
0,88,0,5,2,-1744,student,single,tertiary,no,no,yes,unknown,jun,unknown,unpriv,unpref
0,371,0,19,1,3951,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,432,0,16,1,2411,management,married,tertiary,no,yes,no,cellular,nov,unknown,1,unpref
1,20,207,5,4,-1664,technician,married,primary,no,no,no,cellular,feb,other,1,unpref
0,126,0,30,3,696,blue-collar,married,unknown,no,yes,no,cellular,mar,unknown,1,unpref
0,106,27,14,1,3827,services,single,secondary,no,yes,no,cellular,apr,unknown,1,unpref
0,614,0,9,2,62,housemaid,single,secondary,no,yes,yes,unknown,may,unknown,1,unpref
0,14,0,6,2,-1936,blue-collar,married,secondary,no,yes,no,telephone,may,unknown,1,unpref
0,18,0,12,1,5823,blue-collar,married,primary,no,yes,yes,cellular,nov,unknown,1,unpref
0,226,0,10,3,-908,technician,married,secondary,no,yes,no,unknown,jun,unknown,1,unpref
2,115,124,15,4,2140,housemaid,single,secondary,no,no,no,cellular,nov,failure,1,unpref
0,731,0,20,10,2057,blue-collar,married,secondary,no,no,yes,cellular,may,unknown,1,unpref
0,213,3,7,1,3218,services,divorced,secondary,no,yes,no,cellular,may,unknown,1,unpref
0,390,0,1,1,-530,blue-collar,married,secondary,no,no,no,unknown,may,unknown,1,unpref
0,4,0,7,4,2808,management,divorced,tertiary,no,yes,no,cellular,jul,unknown,1,yes
0,518,0,24,4,1575,blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,1,unpref
0,158,0,8,2,67,blue-collar,married,primary,no,no,yes,cellular,jul,unknown,1,unpref
0,224,0,6,1,610,management,single,secondary,no,yes,yes,unknown,may,unknown,1,unpref
2,264,277,9,2,2969,self-employed,divorced,tertiary,no,yes,no,cellular,may,failure,1,unpref
9,190,229,18,2,-3641,blue-collar,married,secondary,no,yes,no,cellular,may,other,1,unpref
0,192,0,9,1,1374,retired,married,secondary,no,yes,no,cellular,apr,unknown,1,unpref
0,130,0,24,4,-911,self-employed,single,secondary,no,yes,no,cellular,jul,unknown,1,unpref
0,159,0,26,1,-88,technician,married,tertiary,no,yes,no,unknown,may,unknown,1,unpref
0,365,0,4,1,-524,management,married,tertiary,no,yes,no,cellular,aug,unknown,1,unpref
0,45,54,20,1,-2014,entrepreneur,single,tertiary,no,no,no,cellular,aug,unknown,1,yes
0,139,0,19,1,1268,technician,single,tertiary,no,no,no,cellular,aug,unknown,1,unpref
2,409,208,19,1,2816,blue-collar,married,secondary,no,yes,no,cellular,nov,failure,1,unpref
0,193,0,14,2,1252,management,single,tertiary,no,yes,no,unknown,may,unknown,1,unpref
0,606,0,26,1,1528,entrepreneur,married,secondary,no,no,no,cellular,apr,unknown,1,yes
0,58,267,10,5,1094,blue-collar,married,primary,no,yes,no,cellular,may,other,1,unpref
0,482,0,5,1,1642,management,single,tertiary,no,no,no,unknown,jun,unknown,1,unpref
0,224,0,11,1,1481,blue-collar,married,primary,no,no,no,unknown,may,unknown,1,unpref
0,567,0,8,1,604,self-employed,single,tertiary,no,no,no,cellular,feb,unknown,unpriv,unpref
1,149,355,5,1,1480,blue-collar,married,secondary,no,yes,no,cellular,may,failure,1,unpref
5,473,394,7,4,4596,blue-collar,divorced,secondary,no,yes,no,telephone,may,failure,unpriv,unpref
0,124,0,15,1,809,management,married,tertiary,no,yes,no,unknown,may,unknown,1,unpref
0,851,9,4,4,5108,self-employed,single,secondary,no,no,no,cellular,aug,unknown,1,unpref
0,263,0,13,6,12557,management,married,primary,no,no,no,unknown,jun,unknown,1,unpref
11,274,300,19,1,4664,admin.,divorced,secondary,no,yes,no,cellular,may,failure,1,unpref
0,248,0,27,1,-2282,blue-collar,single,secondary,yes,yes,no,unknown,may,unknown,1,unpref
0,615,0,25,1,3063,admin.,married,secondary,no,yes,no,cellular,jan,unknown,1,unpref
0,332,0,23,2,3197,self-employed,single,tertiary,no,yes,no,cellular,apr,unknown,1,unpref
0,305,0,27,1,4615,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1,unpref
0,960,305,17,1,462,management,married,secondary,no,no,no,cellular,may,other,1,yes
0,0,0,27,8,166,entrepreneur,divorced,secondary,no,no,no,cellular,nov,unknown,unpriv,unpref
0,194,0,18,4,-8,technician,divorced,secondary,no,no,no,cellular,aug,unknown,1,unpref
0,0,0,19,1,7598,technician,married,secondary,no,yes,no,cellular,nov,unknown,1,unpref
0,113,0,28,1,-686,management,single,tertiary,no,no,yes,cellular,apr,unknown,1,unpref
0,351,0,11,1,527,admin.,single,primary,no,yes,no,unknown,may,unknown,unpriv,unpref
0,205,0,21,4,2231,management,married,secondary,no,yes,no,unknown,jun,unknown,unpriv,unpref
0,315,0,11,1,274,blue-collar,married,primary,no,yes,no,cellular,may,unknown,1,unpref
0,238,1,18,11,-1894,retired,single,secondary,no,yes,no,cellular,may,unknown,1,unpref
0,143,0,9,1,625,technician,single,secondary,no,no,no,cellular,aug,unknown,1,unpref
0,216,0,3,1,3282,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
0,144,0,20,1,7053,entrepreneur,married,primary,no,no,yes,telephone,jul,unknown,1,unpref
0,126,0,23,8,-1316,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,303,0,12,1,-692,admin.,single,secondary,no,yes,no,cellular,may,unknown,unpriv,unpref
0,194,0,11,6,1357,entrepreneur,married,unknown,no,yes,no,cellular,may,unknown,1,unpref
0,47,0,20,4,1526,blue-collar,married,secondary,no,no,no,telephone,aug,unknown,1,unpref
0,107,0,13,1,907,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
0,200,1,20,1,2034,management,single,tertiary,no,yes,no,cellular,nov,unknown,1,unpref
0,131,0,25,5,2216,admin.,single,secondary,no,yes,no,cellular,jul,unknown,1,unpref
0,0,0,20,1,1258,entrepreneur,divorced,secondary,no,no,no,cellular,jul,unknown,1,unpref
0,269,18,19,1,3114,blue-collar,married,secondary,no,yes,no,cellular,nov,unknown,1,unpref
0,669,0,11,3,-2529,services,single,secondary,no,no,no,cellular,jul,unknown,unpriv,unpref
0,457,0,27,10,394,blue-collar,single,primary,no,yes,yes,unknown,may,unknown,1,unpref
2,170,289,6,3,2032,management,divorced,tertiary,no,yes,no,cellular,jun,failure,1,unpref
0,83,0,13,8,1512,housemaid,single,secondary,no,no,no,cellular,aug,unknown,1,unpref
0,150,0,2,1,197,self-employed,married,secondary,no,no,no,unknown,aug,unknown,1,unpref
0,318,0,12,6,104,admin.,single,secondary,no,no,no,cellular,aug,unknown,1,unpref
0,0,2,1,1,5428,retired,divorced,secondary,no,yes,no,cellular,jul,failure,1,unpref
0,152,5,11,2,825,blue-collar,single,secondary,no,yes,no,cellular,jul,unknown,1,unpref
0,517,0,15,1,2025,admin.,divorced,secondary,no,yes,no,cellular,jul,unknown,1,unpref
0,143,1,13,1,804,technician,married,tertiary,no,no,no,unknown,may,unknown,1,unpref
0,118,0,15,1,791,management,divorced,secondary,no,yes,no,telephone,apr,unknown,1,unpref
0,190,0,29,1,-1549,management,married,tertiary,no,yes,yes,cellular,jan,unknown,1,unpref
0,37,0,17,1,-193,blue-collar,married,secondary,no,yes,no,cellular,nov,unknown,1,unpref
0,413,0,3,1,1074,technician,single,tertiary,no,yes,no,unknown,jul,unknown,1,unpref
0,38,1,27,1,7438,admin.,single,secondary,no,no,no,telephone,jan,unknown,1,unpref
0,179,0,5,7,6022,technician,married,tertiary,no,no,no,unknown,jun,unknown,1,unpref
0,176,0,14,1,-574,management,divorced,tertiary,no,yes,no,cellular,may,unknown,1,unpref
0,80,0,12,1,1489,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
0,126,1,22,1,1659,blue-collar,married,unknown,no,yes,no,unknown,may,unknown,1,unpref
0,658,0,5,1,-624,services,married,secondary,no,no,yes,unknown,jul,unknown,1,unpref
0,120,0,6,3,1892,admin.,single,primary,no,no,no,unknown,jun,unknown,unpriv,unpref
0,303,18,19,6,3269,technician,divorced,secondary,no,no,yes,cellular,jul,unknown,1,unpref
0,144,4,12,1,-1320,technician,single,secondary,no,no,no,cellular,may,unknown,1,unpref
0,113,0,17,1,2383,housemaid,married,primary,no,yes,no,cellular,jul,unknown,1,unpref
0,279,0,22,1,2203,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,75,0,24,1,1863,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,126,0,21,1,1016,management,single,secondary,no,yes,no,cellular,jul,unknown,1,unpref
0,48,0,18,12,5125,blue-collar,married,primary,no,no,no,cellular,aug,unknown,1,unpref
0,93,0,27,2,18,technician,single,secondary,no,no,yes,unknown,jun,unknown,1,unpref
3,233,295,14,1,788,technician,married,secondary,no,yes,no,cellular,may,failure,1,unpref
0,260,0,8,1,2451,blue-collar,married,primary,no,no,no,unknown,jun,unknown,1,unpref
0,43,0,14,2,1857,admin.,married,secondary,no,yes,yes,cellular,may,unknown,1,unpref
0,47,0,6,1,3745,admin.,divorced,secondary,no,yes,no,cellular,jul,unknown,1,unpref
0,181,0,7,2,896,admin.,single,primary,no,yes,no,unknown,may,unknown,1,unpref
1,217,223,1,1,3760,technician,married,secondary,no,yes,no,cellular,feb,failure,1,unpref
0,145,0,30,1,2230,technician,married,tertiary,no,no,no,cellular,jul,unknown,1,unpref
0,264,0,27,1,3402,management,married,unknown,no,no,no,cellular,jul,unknown,1,unpref
0,62,0,29,6,1085,housemaid,married,secondary,no,yes,no,cellular,jul,unknown,1,yes
0,116,0,15,1,308,blue-collar,married,primary,no,yes,no,cellular,jul,unknown,1,unpref
0,621,0,4,1,188,technician,married,secondary,no,yes,no,cellular,jul,unknown,1,unpref
0,776,0,16,4,3454,management,single,tertiary,no,yes,no,cellular,nov,unknown,unpriv,unpref
0,159,0,16,2,1222,blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,1,unpref
0,202,0,20,2,-29,blue-collar,single,primary,no,yes,no,cellular,apr,unknown,1,unpref
0,176,8,29,1,-2598,technician,single,secondary,no,no,no,cellular,jan,unknown,1,unpref
0,97,0,9,1,1922,admin.,married,secondary,no,yes,no,cellular,may,unknown,1,unpref
0,314,0,18,2,3057,services,married,primary,no,no,no,unknown,may,unknown,1,unpref
0,0,2,21,1,8168,blue-collar,married,secondary,no,yes,no,telephone,apr,unknown,1,unpref
0,221,0,9,1,17503,housemaid,single,primary,no,yes,no,telephone,nov,unknown,unpriv,yes
0,27,177,20,1,15804,blue-collar,married,primary,no,no,no,telephone,feb,success,1,yes
0,130,0,20,1,1111,blue-collar,married,primary,no,no,no,cellular,jul,unknown,1,unpref
0,600,0,17,3,1362,blue-collar,married,secondary,no,no,yes,cellular,jul,unknown,1,unpref
0,770,0,15,2,2981,retired,married,secondary,no,no,no,telephone,jul,unknown,unpriv,unpref
0,201,0,13,1,2327,blue-collar,single,secondary,no,no,no,cellular,feb,unknown,1,unpref
0,263,0,15,1,995,management,married,tertiary,no,no,no,cellular,nov,unknown,1,unpref
0,246,0,7,1,-286,technician,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,348,0,27,2,666,services,married,primary,no,yes,no,unknown,may,unknown,1,unpref
0,70,166,13,1,10126,technician,married,secondary,no,yes,no,cellular,nov,failure,1,unpref
0,399,0,25,1,984,services,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,636,2,9,1,-2096,technician,divorced,secondary,no,yes,yes,cellular,may,unknown,1,unpref
0,208,0,22,4,4369,blue-collar,married,primary,no,no,yes,cellular,jul,unknown,1,unpref
0,545,1,26,1,2309,retired,married,secondary,no,yes,no,telephone,apr,unknown,unpriv,yes
0,122,0,2,4,186,management,single,tertiary,no,yes,yes,cellular,jul,unknown,unpriv,unpref
0,60,27,14,1,739,retired,married,primary,no,yes,yes,telephone,nov,unknown,unpriv,unpref
0,516,2,21,1,5953,management,married,tertiary,no,no,no,cellular,nov,unknown,1,unpref
0,35,0,12,1,244,services,single,secondary,no,no,yes,unknown,may,unknown,1,yes
0,285,0,27,1,343,blue-collar,married,secondary,no,no,no,unknown,jun,unknown,1,unpref
0,419,0,2,7,5470,management,married,tertiary,no,yes,no,cellular,feb,unknown,1,unpref
0,173,0,20,2,-1957,management,married,tertiary,no,yes,no,cellular,jul,unknown,1,unpref
0,55,0,6,1,-394,services,divorced,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,255,0,11,2,-305,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,303,0,22,1,5078,technician,divorced,tertiary,no,no,no,cellular,aug,unknown,1,unpref
0,233,11,11,1,1559,services,married,secondary,no,yes,yes,cellular,jul,unknown,1,unpref
0,194,0,17,1,-741,technician,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,312,0,23,2,650,blue-collar,divorced,unknown,no,no,no,cellular,aug,unknown,1,unpref
0,197,0,26,15,-1537,technician,single,secondary,no,no,no,cellular,aug,unknown,1,unpref
0,124,3,18,1,352,services,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,1601,0,9,1,2905,technician,married,tertiary,no,yes,no,unknown,jun,unknown,1,unpref
0,41,0,4,2,-1674,management,married,tertiary,no,no,no,cellular,feb,unknown,1,unpref
0,454,0,11,3,719,management,single,tertiary,no,no,no,cellular,aug,unknown,unpriv,unpref
0,137,1,18,5,-942,management,married,tertiary,no,yes,no,unknown,may,unknown,1,unpref
0,1,80,12,1,32522,unemployed,single,secondary,no,no,no,cellular,may,failure,unpriv,yes
0,49,0,26,3,-1244,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
0,708,0,8,1,1038,admin.,single,secondary,no,no,no,unknown,jun,unknown,1,yes
0,313,155,6,1,1028,student,single,primary,no,yes,no,telephone,mar,other,1,unpref
0,135,0,13,1,2034,services,married,secondary,no,no,yes,cellular,jul,unknown,1,unpref
0,42,0,16,1,-2272,retired,divorced,primary,no,no,no,cellular,aug,unknown,1,unpref
0,67,0,9,1,1992,technician,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,701,0,1,1,-151,admin.,married,secondary,no,yes,no,cellular,may,unknown,1,yes
0,100,0,17,1,-1496,blue-collar,married,unknown,no,yes,no,unknown,jun,unknown,1,unpref
0,224,0,19,4,1786,services,married,secondary,no,yes,no,cellular,jul,unknown,1,unpref
0,2091,0,26,1,2182,retired,single,unknown,no,no,no,cellular,jul,unknown,1,yes
0,256,0,21,1,1373,management,married,tertiary,no,no,yes,cellular,jul,unknown,1,unpref
2,125,296,18,2,786,technician,single,secondary,no,yes,no,cellular,apr,other,unpriv,unpref
0,221,0,20,5,2478,management,married,tertiary,no,yes,no,cellular,nov,unknown,1,unpref
0,251,0,28,3,742,blue-collar,married,primary,no,yes,no,cellular,jul,unknown,1,unpref
0,299,0,13,1,-451,management,married,secondary,no,yes,yes,cellular,may,unknown,1,unpref
0,126,0,8,1,7093,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,184,0,29,1,323,admin.,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,681,0,4,1,7196,housemaid,divorced,primary,no,yes,no,unknown,aug,unknown,unpriv,unpref
0,970,1,8,1,2174,management,single,tertiary,no,yes,no,telephone,nov,unknown,1,unpref
0,139,0,4,1,1070,blue-collar,married,primary,no,no,no,unknown,jun,unknown,1,unpref
0,122,0,18,3,2113,admin.,married,secondary,no,no,no,unknown,jun,unknown,1,unpref
0,258,0,5,1,640,management,married,secondary,no,no,no,unknown,jun,unknown,1,unpref
0,378,0,3,2,3916,technician,divorced,tertiary,no,yes,no,cellular,feb,unknown,1,unpref
0,333,0,28,1,2358,technician,married,secondary,no,no,yes,telephone,jul,unknown,1,unpref
0,233,0,14,2,1759,blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,1,unpref
0,86,7,20,1,1935,management,single,tertiary,no,yes,no,cellular,nov,unknown,1,unpref
0,310,2,18,1,761,technician,married,tertiary,no,yes,no,cellular,nov,unknown,1,unpref
0,173,0,30,1,3147,admin.,married,secondary,no,no,no,cellular,apr,unknown,1,yes
0,112,0,23,2,-12,technician,single,tertiary,no,yes,no,unknown,may,unknown,1,unpref
0,0,0,8,2,358,blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,1,unpref
0,482,0,5,1,-395,admin.,single,secondary,no,no,no,unknown,jul,unknown,1,unpref
2,46,143,17,1,2208,technician,married,secondary,no,yes,yes,cellular,nov,failure,1,unpref
0,183,0,17,1,8,services,married,secondary,no,yes,yes,unknown,jun,unknown,1,unpref
0,391,0,9,8,1275,management,married,tertiary,no,yes,no,unknown,jun,unknown,1,unpref
0,194,0,28,1,3766,retired,married,primary,no,no,no,cellular,jul,unknown,1,unpref
0,901,0,25,3,2496,services,married,secondary,no,no,yes,cellular,jul,unknown,1,unpref
0,461,0,17,1,-76,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
3,134,293,5,1,2072,management,single,secondary,no,yes,no,cellular,may,failure,1,unpref
0,5,0,21,1,6151,management,married,tertiary,no,no,no,cellular,nov,unknown,1,unpref
3,64,285,4,1,1993,technician,married,secondary,no,yes,no,cellular,may,failure,1,unpref
0,37,0,11,3,6932,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
0,59,124,29,1,5535,management,single,secondary,no,no,no,cellular,oct,success,1,yes
2,357,271,12,1,-551,admin.,single,tertiary,no,yes,no,cellular,may,failure,1,unpref
0,93,0,5,1,-2914,services,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,32,0,10,2,-3188,retired,married,primary,no,no,no,cellular,jul,unknown,unpriv,unpref
0,183,0,26,3,7156,unemployed,married,primary,no,yes,no,cellular,jun,unknown,1,unpref
1,161,52,2,1,4249,technician,married,secondary,no,no,no,cellular,feb,failure,1,unpref
0,427,0,9,2,1160,blue-collar,divorced,primary,no,yes,no,unknown,may,unknown,1,unpref
0,72,0,11,2,2072,retired,divorced,secondary,no,no,yes,cellular,jul,unknown,1,unpref
