,balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
24,-313,30,55,2,0,0,admin.,married,secondary,no,yes,no,unknown,may,unknown,0,no
25,36,1,116,1,-1,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0,no
26,1925,8,244,2,0,0,technician,married,tertiary,no,no,no,cellular,aug,unknown,0,no
27,2675,10,322,2,377,2,retired,married,primary,no,no,yes,cellular,apr,failure,0,yes
28,355,12,124,1,-1,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
29,645,27,305,1,-1,0,management,single,secondary,no,no,no,cellular,jun,unknown,0,no
30,0,5,86,2,-1,0,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
31,263,28,315,1,-1,0,management,single,secondary,no,no,no,cellular,jun,unknown,0,no
32,559,4,28,1,0,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
33,-237,1,113,2,-1,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
34,263,28,314,1,-1,0,management,single,secondary,no,no,no,cellular,jun,unknown,0,no
35,1130,26,416,2,294,0,services,single,tertiary,no,no,no,unknown,jul,failure,0,no
36,230,1,49,1,-1,0,blue-collar,single,secondary,no,yes,no,unknown,nov,unknown,0,no
37,-236,10,116,1,0,0,technician,single,secondary,no,no,no,cellular,jul,unknown,0,yes
38,0,30,424,1,-1,0,management,married,tertiary,no,no,no,cellular,jul,unknown,0,no
39,286,27,413,1,0,0,technician,married,secondary,no,no,no,cellular,aug,unknown,0,no
40,317,6,134,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
41,532,15,181,0,0,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
42,247,6,100,2,0,0,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
43,-189,1,125,2,-1,0,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
44,-211,28,211,0,0,0,technician,married,secondary,no,yes,no,cellular,jul,unknown,0,no
45,-654,8,403,1,0,0,blue-collar,married,secondary,no,no,no,cellular,jul,unknown,0,no
46,8601,16,208,2,0,2,admin.,married,primary,no,yes,no,unknown,may,failure,0,no
47,1322,14,355,1,-1,0,technician,single,secondary,no,no,yes,unknown,jun,unknown,0,no
48,318,10,31,1,-1,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
49,519,31,363,1,0,0,services,married,secondary,no,no,no,unknown,jul,unknown,0,no
50,760,29,304,0,0,0,management,married,secondary,no,yes,no,cellular,jun,unknown,0,no
51,492,4,209,0,-1,0,management,married,secondary,no,no,no,cellular,may,unknown,0,no
52,884,14,121,1,0,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
53,1097,16,235,1,-1,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
54,614,26,59,2,-1,0,blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,0,no
55,3973,14,115,2,148,2,retired,married,primary,yes,yes,no,unknown,may,failure,0,yes
56,-216,29,395,2,-1,1,services,single,tertiary,no,no,no,unknown,jul,unknown,0,no
57,1550,28,296,0,-1,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
58,-246,4,359,2,0,0,management,married,tertiary,no,no,no,cellular,aug,unknown,0,no
59,-141,24,163,2,0,0,services,married,tertiary,no,no,no,unknown,may,unknown,0,no
60,3142,20,711,3,355,6,retired,single,primary,yes,yes,yes,unknown,jun,failure,0,yes
61,761,16,173,0,0,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
62,303,7,90,1,0,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
63,234,2,179,2,0,0,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,0,no
64,2646,27,98,2,0,0,technician,married,tertiary,no,no,no,cellular,jul,unknown,0,no
65,2093,17,192,1,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0,no
66,-191,1,120,2,-1,0,blue-collar,married,tertiary,no,yes,no,cellular,may,unknown,0,no
67,-176,2,356,7,18,0,services,married,tertiary,no,yes,no,cellular,apr,failure,0,no
68,83,29,104,1,0,0,technician,married,secondary,no,yes,no,unknown,may,unknown,0,no
69,-123,2,39,1,-1,0,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,0,no
70,1227,4,422,2,-1,0,blue-collar,married,tertiary,no,yes,no,cellular,jun,unknown,0,no
71,1372,8,392,2,0,0,blue-collar,married,tertiary,no,no,no,cellular,nov,unknown,0,no
72,403,1,343,3,457,0,services,married,secondary,no,no,no,cellular,may,failure,0,no
73,2747,20,601,2,0,0,blue-collar,married,tertiary,no,yes,no,unknown,may,unknown,0,no
74,7958,9,274,3,355,3,services,married,primary,yes,yes,no,unknown,nov,failure,0,yes
75,655,9,247,1,387,1,services,married,secondary,no,yes,no,cellular,may,failure,0,no
76,146,7,88,2,0,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
77,2241,15,384,1,0,1,blue-collar,married,secondary,no,yes,no,cellular,may,failure,0,no
78,1267,15,173,0,-1,0,blue-collar,married,secondary,no,yes,no,cellular,aug,unknown,0,no
79,774,26,316,1,-1,0,technician,single,secondary,no,no,no,cellular,jun,unknown,0,no
80,873,1,166,2,0,0,blue-collar,married,secondary,no,yes,no,unknown,nov,unknown,0,no
81,-30,4,197,1,114,2,retired,divorced,tertiary,no,yes,yes,cellular,nov,failure,0,yes
82,277,5,203,0,0,0,management,married,secondary,no,no,no,cellular,jul,unknown,0,no
83,2946,10,167,1,-1,0,admin.,married,tertiary,no,yes,no,cellular,jun,unknown,0,no
84,390,7,88,1,0,0,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
85,3101,3,162,0,-1,0,blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,0,no
86,1804,14,290,3,302,1,services,single,tertiary,no,no,no,unknown,jul,failure,0,no
87,422,6,121,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
88,7902,11,184,2,0,1,admin.,married,primary,no,yes,no,cellular,may,unknown,0,no
89,-99,3,77,2,-1,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
90,898,9,255,1,0,0,admin.,married,tertiary,no,no,no,cellular,aug,unknown,0,no
91,319,7,86,1,0,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
92,239,7,83,1,0,0,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
93,242,7,296,1,377,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,0,no
94,200,6,138,2,-1,0,blue-collar,married,tertiary,no,no,no,cellular,jul,unknown,0,no
95,1858,29,304,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
96,2159,8,280,1,344,1,technician,married,secondary,no,yes,no,cellular,may,failure,0,no
97,40,5,67,1,0,0,management,married,tertiary,no,no,no,cellular,nov,unknown,0,no
98,280,24,26,2,-1,0,technician,married,secondary,no,no,no,cellular,aug,unknown,0,no
99,-127,14,425,2,0,0,services,single,secondary,no,yes,no,cellular,may,unknown,0,yes
100,281,7,90,3,0,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
101,146,8,125,2,0,1,blue-collar,married,tertiary,no,no,no,cellular,jul,unknown,0,no
102,453,3,41,3,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0,no
103,85,14,357,2,397,0,services,single,secondary,no,yes,no,cellular,may,failure,0,yes
104,305,7,94,1,0,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
105,680,16,212,2,0,0,student,single,secondary,no,no,no,cellular,apr,success,0,yes
106,-97,18,41,2,-1,0,management,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
107,1921,21,167,1,0,0,blue-collar,married,tertiary,no,no,no,unknown,jun,unknown,0,no
108,1356,25,333,0,-1,0,technician,single,secondary,no,no,no,cellular,jun,unknown,0,no
109,-194,25,237,3,375,0,services,single,tertiary,no,no,no,unknown,jun,failure,0,no
110,419,27,304,1,-1,0,management,single,secondary,no,no,no,cellular,jun,unknown,0,no
111,516,29,131,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
112,325,25,420,1,0,0,technician,married,secondary,no,no,no,cellular,may,unknown,0,no
113,1248,19,319,3,78,4,retired,single,primary,yes,no,yes,unknown,apr,other,0,yes
114,357,6,376,2,265,1,management,single,tertiary,no,no,no,cellular,feb,failure,0,no
115,268,7,82,1,0,0,blue-collar,married,tertiary,no,yes,no,cellular,may,unknown,0,no
116,-209,1,173,2,-1,0,admin.,married,tertiary,no,yes,no,cellular,may,unknown,0,no
117,370,7,108,1,0,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
118,739,16,146,1,-1,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
119,-84,27,22,1,-1,0,technician,married,secondary,no,no,no,cellular,jul,unknown,0,no
120,1238,26,384,1,0,0,technician,single,secondary,no,no,yes,unknown,jun,unknown,0,no
121,216,7,79,2,0,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
122,-715,7,183,1,0,0,blue-collar,married,tertiary,no,yes,no,unknown,may,unknown,0,no
123,1326,11,376,1,0,0,admin.,married,tertiary,no,yes,no,unknown,jun,unknown,0,no
124,73,6,42,0,-1,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0,no
125,354,7,100,1,0,0,blue-collar,married,tertiary,no,yes,no,cellular,may,unknown,0,no
126,434,8,159,0,-1,0,management,married,secondary,no,no,no,cellular,may,unknown,0,no
127,2826,8,113,1,310,2,services,single,tertiary,no,yes,no,cellular,apr,failure,0,no
128,2908,2,278,3,-1,0,blue-collar,married,secondary,no,yes,no,unknown,jul,unknown,0,no
129,7338,16,203,2,390,2,retired,married,primary,yes,yes,no,unknown,may,failure,0,yes
130,-523,24,122,0,0,0,technician,married,secondary,no,yes,no,cellular,jul,unknown,0,no
131,715,28,311,0,-1,0,management,single,secondary,no,yes,no,cellular,jun,unknown,0,no
132,566,14,486,8,89,5,blue-collar,single,primary,yes,yes,yes,unknown,apr,failure,0,yes
133,355,28,174,1,0,0,technician,married,secondary,no,no,no,cellular,aug,unknown,0,no
134,1577,17,127,1,299,2,admin.,single,tertiary,no,yes,no,unknown,nov,failure,0,no
135,324,7,157,0,-1,0,blue-collar,married,secondary,no,no,no,unknown,jun,unknown,0,no
136,344,6,152,2,0,0,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
137,-167,8,178,0,0,0,self-employed,single,tertiary,no,no,no,cellular,feb,unknown,0,yes
138,426,6,144,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
139,401,6,123,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
140,2222,4,235,2,0,0,blue-collar,married,tertiary,no,yes,no,cellular,nov,unknown,0,no
141,3055,22,9,1,-1,0,blue-collar,single,secondary,no,yes,no,unknown,jun,unknown,0,no
142,-118,8,226,1,0,0,management,single,tertiary,no,no,yes,unknown,jul,unknown,0,no
143,742,15,342,0,0,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
144,591,24,256,1,-1,0,admin.,single,secondary,no,yes,no,cellular,may,unknown,0,no
145,112,4,199,0,-1,0,management,single,secondary,no,no,no,unknown,may,failure,0,no
146,-255,25,175,2,-1,0,technician,married,secondary,no,no,no,cellular,aug,unknown,0,no
147,2996,20,43,1,-1,0,technician,married,secondary,no,no,no,unknown,jun,unknown,0,no
148,392,8,203,0,0,0,technician,married,secondary,no,yes,no,cellular,may,unknown,0,no
149,659,7,384,1,0,2,blue-collar,married,tertiary,no,yes,no,cellular,jul,failure,0,no
150,-198,7,86,1,0,0,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,0,no
151,578,5,376,1,323,2,blue-collar,married,tertiary,no,yes,no,cellular,feb,failure,0,no
152,1028,26,47,1,-1,0,management,married,secondary,no,yes,no,unknown,aug,unknown,0,no
153,166,5,113,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
154,464,2,143,0,-1,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
155,2628,29,14,1,-1,0,technician,married,secondary,no,yes,no,unknown,may,unknown,0,no
156,169,4,392,2,0,0,blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,0,no
157,3067,8,272,1,339,1,services,single,tertiary,no,no,yes,cellular,apr,failure,0,yes
158,-118,30,37,4,-1,0,technician,married,secondary,no,yes,no,cellular,jul,unknown,0,no
159,8016,9,274,4,340,3,services,married,primary,yes,yes,no,unknown,nov,failure,0,yes
160,5208,10,209,2,-1,1,admin.,married,primary,no,yes,no,cellular,may,unknown,0,no
161,582,16,347,0,-1,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
162,314,7,62,0,-1,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
163,467,27,290,1,-1,0,management,single,secondary,no,no,no,cellular,jun,unknown,0,no
164,459,16,404,2,0,1,technician,single,secondary,no,yes,no,cellular,may,failure,0,no
165,-201,11,379,2,0,0,admin.,married,tertiary,no,no,no,cellular,jul,unknown,0,no
166,487,9,129,1,-1,0,blue-collar,married,secondary,no,yes,no,cellular,jun,unknown,0,no
167,-228,5,419,0,-1,0,student,single,tertiary,no,yes,no,cellular,may,unknown,0,yes
168,3014,17,372,2,343,1,services,married,tertiary,no,yes,no,cellular,jun,failure,0,no
169,2936,3,374,1,294,0,blue-collar,single,secondary,no,yes,no,unknown,may,failure,0,no
170,445,28,128,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
171,-213,4,249,2,262,2,blue-collar,married,tertiary,no,yes,no,cellular,nov,failure,0,no
172,619,9,70,1,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0,no
173,-296,3,424,1,-1,0,services,divorced,primary,no,yes,no,cellular,may,unknown,0,yes
174,2135,9,302,4,0,0,services,single,secondary,no,no,no,unknown,jul,unknown,0,no
175,-168,3,50,1,-1,0,management,married,secondary,no,no,no,cellular,may,unknown,0,no
176,476,26,197,2,0,0,services,married,secondary,no,yes,no,cellular,jul,unknown,0,no
177,680,11,200,2,141,6,retired,married,primary,yes,yes,no,unknown,may,failure,0,yes
178,459,25,202,2,-1,0,technician,married,secondary,no,no,no,unknown,may,unknown,0,no
179,216,28,313,1,0,0,management,single,secondary,no,no,no,cellular,jun,unknown,0,no
180,-266,11,268,1,0,0,blue-collar,married,tertiary,no,no,no,unknown,may,unknown,0,no
181,233,13,126,3,0,0,blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,0,no
182,286,7,120,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
183,603,10,100,5,0,0,technician,married,tertiary,no,yes,no,cellular,jun,unknown,0,no
184,1105,10,417,4,-1,2,admin.,married,tertiary,no,yes,no,cellular,jun,unknown,0,no
185,429,9,137,0,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0,no
186,337,7,84,1,0,0,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
187,516,23,387,0,0,0,admin.,single,tertiary,no,yes,no,cellular,may,unknown,0,no
188,-133,9,218,1,-1,0,admin.,single,secondary,no,no,no,cellular,aug,unknown,0,no
189,1596,28,307,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
190,-18,3,112,1,-1,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
191,60,4,66,2,0,0,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
192,163,29,81,1,0,0,management,married,secondary,no,no,no,cellular,may,unknown,0,no
193,383,13,251,1,297,1,services,single,tertiary,no,yes,no,unknown,nov,failure,0,no
194,1112,25,337,1,-1,0,technician,single,secondary,no,no,no,unknown,jun,unknown,0,no
195,245,7,159,0,0,0,technician,married,secondary,no,no,no,cellular,jul,unknown,0,no
196,4809,17,391,3,366,2,retired,single,primary,yes,no,yes,unknown,jul,success,0,yes
197,2608,1,123,0,338,1,services,single,tertiary,no,yes,yes,cellular,apr,failure,0,yes
198,441,28,136,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
199,400,4,172,0,-1,0,blue-collar,married,tertiary,no,no,no,unknown,jun,unknown,0,no
200,1862,8,220,1,-1,0,blue-collar,married,tertiary,no,yes,no,cellular,nov,unknown,0,no
201,2505,2,145,3,0,0,management,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
202,314,7,97,1,0,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
203,519,5,204,0,0,0,management,married,secondary,no,no,no,cellular,may,unknown,0,no
204,962,18,279,0,-1,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
205,-230,0,201,2,-1,0,management,single,secondary,no,yes,no,unknown,jun,unknown,0,no
206,923,12,194,2,139,6,retired,married,primary,yes,yes,no,unknown,may,failure,0,yes
207,797,3,149,0,-1,0,blue-collar,married,secondary,no,yes,no,unknown,jul,unknown,0,no
208,131,18,188,2,-1,0,admin.,single,secondary,no,no,no,cellular,may,unknown,0,no
209,1615,18,275,2,58,2,services,single,tertiary,no,no,no,unknown,feb,failure,0,no
210,452,9,153,1,0,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
211,1111,8,145,3,379,7,retired,married,primary,yes,no,no,unknown,may,other,0,yes
212,559,17,287,1,-1,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
213,-301,1,4,2,-1,0,management,married,tertiary,no,yes,no,cellular,may,unknown,0,no
214,484,15,299,0,0,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
215,230,2,162,0,-1,0,management,married,secondary,no,no,no,cellular,aug,unknown,0,no
216,615,3,31,0,0,0,technician,married,secondary,no,no,no,cellular,may,unknown,0,no
217,309,12,303,1,-1,0,management,single,tertiary,no,no,no,cellular,jul,unknown,0,no
218,275,9,77,0,-1,0,management,single,tertiary,no,yes,no,cellular,may,unknown,0,no
219,532,14,140,1,0,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
220,950,25,368,1,0,0,technician,single,secondary,no,no,yes,unknown,jun,unknown,0,no
221,279,7,104,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
222,2317,3,261,2,0,0,management,married,tertiary,no,yes,no,cellular,nov,unknown,0,no
223,1814,6,224,2,0,0,management,married,tertiary,no,no,no,cellular,aug,unknown,0,no
224,-144,31,4,2,0,0,blue-collar,married,secondary,no,no,no,cellular,aug,unknown,0,no
225,1359,18,277,3,460,1,services,single,tertiary,no,no,no,unknown,jun,failure,0,no
226,-220,3,109,2,0,0,services,single,tertiary,no,no,no,cellular,jul,unknown,0,no
227,625,2,119,0,-1,0,management,married,tertiary,no,yes,no,cellular,may,unknown,0,no
228,2025,29,293,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
229,266,6,77,1,0,0,technician,married,secondary,no,no,no,cellular,may,unknown,0,no
230,704,16,307,1,-1,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
231,320,6,85,2,-1,0,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
232,537,16,144,1,-1,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
233,-91,8,39,1,-1,0,blue-collar,married,secondary,no,yes,no,cellular,aug,unknown,0,no
234,1398,29,282,0,-1,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
235,379,5,178,0,-1,0,management,married,secondary,no,no,no,unknown,aug,unknown,0,no
236,1182,16,349,1,-1,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
237,-48,4,77,3,-1,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
238,-131,4,207,2,-1,0,blue-collar,married,secondary,no,yes,no,cellular,jun,unknown,0,no
239,-275,22,15,1,-1,0,technician,married,secondary,no,yes,no,cellular,may,unknown,0,no
240,-97,9,418,2,137,2,management,married,tertiary,no,yes,no,cellular,aug,failure,0,no
241,8591,20,54,0,-1,0,management,married,tertiary,no,no,no,unknown,jun,unknown,0,no
242,1386,16,360,1,-1,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
243,-188,18,266,0,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0,no
244,2690,29,119,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
245,328,6,108,1,0,0,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
246,8564,15,185,2,363,2,admin.,married,primary,no,yes,no,unknown,may,failure,0,no
247,482,17,739,2,-1,0,management,married,tertiary,no,no,no,cellular,aug,unknown,0,no
248,966,13,209,2,136,6,retired,married,primary,yes,yes,no,unknown,may,failure,0,yes
249,763,16,322,1,-1,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
250,370,6,134,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
251,2674,29,116,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
252,228,7,100,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
253,-86,4,74,0,0,0,blue-collar,single,secondary,no,yes,no,cellular,may,unknown,0,no
254,439,28,311,1,-1,0,management,single,secondary,no,no,no,cellular,jun,unknown,0,no
255,-289,25,141,8,-1,0,management,divorced,tertiary,no,no,no,cellular,aug,unknown,0,no
256,453,26,289,1,-1,0,management,single,secondary,no,no,no,cellular,jun,unknown,0,no
257,263,1,190,3,-1,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown,0,no
258,6244,2,749,0,41,2,retired,divorced,primary,no,no,yes,telephone,nov,success,0,yes
259,379,24,117,1,-1,0,student,single,tertiary,no,yes,no,cellular,oct,unknown,0,yes
260,1309,26,326,1,-1,0,technician,single,secondary,no,no,no,cellular,jun,unknown,0,no
261,2871,15,206,1,0,0,admin.,married,tertiary,no,yes,no,cellular,jun,unknown,0,no
262,1507,12,248,1,0,1,admin.,married,tertiary,no,yes,no,cellular,aug,unknown,0,no
263,-247,1,181,2,-1,0,admin.,married,secondary,no,yes,no,cellular,may,unknown,0,no
264,522,26,319,1,-1,0,admin.,single,secondary,no,no,no,cellular,jun,unknown,0,no
265,3137,21,550,2,285,1,services,single,primary,no,yes,yes,unknown,jul,other,0,yes
266,2404,1,155,1,-1,0,management,married,secondary,no,no,no,cellular,aug,unknown,0,no
267,1925,14,38,0,0,0,technician,married,secondary,no,yes,no,unknown,jun,unknown,0,no
268,350,6,75,1,0,0,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
269,2746,10,424,3,183,2,management,married,tertiary,no,no,yes,cellular,apr,failure,0,no
270,286,29,112,1,-1,0,management,married,secondary,no,no,no,cellular,aug,unknown,0,no
271,89,4,167,0,0,0,management,married,secondary,no,no,no,cellular,may,unknown,0,no
272,2076,16,748,0,38,3,retired,divorced,primary,no,yes,yes,telephone,nov,success,0,yes
273,1233,26,348,0,-1,0,technician,single,secondary,no,no,no,cellular,jun,unknown,0,no
274,2997,13,16,1,-1,0,technician,married,secondary,no,yes,no,unknown,may,unknown,0,no
275,351,2,201,0,-1,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
276,-111,3,83,2,-1,0,blue-collar,married,tertiary,no,yes,no,cellular,may,unknown,0,no
277,571,7,8,0,-1,0,management,single,tertiary,no,yes,no,cellular,may,unknown,0,no
278,465,7,128,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
279,2633,14,413,3,445,3,services,single,tertiary,no,yes,no,unknown,jun,failure,0,no
280,3064,31,131,3,0,0,blue-collar,married,tertiary,no,no,no,cellular,aug,unknown,0,no
281,-125,7,140,1,-1,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
282,-91,6,155,0,0,0,management,married,secondary,no,no,no,cellular,jul,unknown,0,no
283,267,13,198,0,0,0,admin.,married,secondary,no,no,no,cellular,may,unknown,0,no
284,289,4,175,0,-1,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
285,683,8,321,4,0,0,services,single,secondary,no,yes,no,unknown,jul,unknown,0,no
286,57,4,193,0,-1,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
287,1220,16,135,1,-1,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
288,636,4,27,0,0,0,management,married,secondary,no,no,no,cellular,may,unknown,0,no
289,72,9,153,0,0,0,blue-collar,married,secondary,no,no,no,cellular,may,unknown,0,no
290,317,7,97,1,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
291,2841,6,285,2,0,0,blue-collar,married,tertiary,no,yes,no,cellular,jun,unknown,0,no
292,397,17,50,0,0,0,admin.,married,secondary,no,yes,no,unknown,may,unknown,0,no
293,623,24,195,0,0,0,technician,single,secondary,no,no,no,cellular,aug,unknown,0,no
294,2177,8,282,1,-1,0,blue-collar,married,tertiary,no,yes,no,cellular,nov,unknown,0,no
295,1581,18,163,0,-1,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0,no
296,116,24,158,0,-1,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0,no
297,3086,25,0,1,0,0,technician,married,secondary,no,yes,no,unknown,may,unknown,0,no
298,51,5,197,2,0,0,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,0,no
299,630,1,201,0,-1,0,blue-collar,married,secondary,no,no,no,unknown,jun,unknown,0,no
300,272,6,38,1,-1,0,management,married,secondary,no,no,no,cellular,may,unknown,0,no
301,621,23,11,0,0,0,services,married,tertiary,no,yes,no,unknown,may,unknown,0,no
