balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
3656,29,138,3,2,0,retired,married,tertiary,no,yes,no,cellular,jan,unknown,1,unpref
-2097,25,43,1,289,0,self-employed,single,tertiary,no,yes,no,cellular,apr,other,1,unpref
3125,20,215,2,1,0,management,single,tertiary,no,no,no,cellular,aug,unknown,1,unpref
-2765,27,51,1,1,0,management,married,tertiary,no,no,no,cellular,jan,unknown,unpriv,unpref
1100,11,133,1,0,0,management,married,tertiary,no,no,no,cellular,jul,unknown,1,unpref
-187,18,220,1,0,0,technician,single,tertiary,no,yes,no,cellular,aug,unknown,1,unpref
1207,4,617,1,0,0,retired,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
2653,27,562,2,1,0,blue-collar,single,primary,no,yes,no,unknown,may,unknown,1,unpref
-3670,25,274,3,0,0,management,single,tertiary,no,no,no,cellular,jul,unknown,1,unpref
-433,26,177,1,0,0,technician,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
216,13,639,1,279,2,technician,single,tertiary,no,yes,no,cellular,apr,failure,unpriv,unpref
951,9,230,2,0,0,technician,divorced,secondary,no,no,yes,unknown,nov,unknown,1,unpref
149,29,473,6,0,0,admin.,married,secondary,no,no,yes,cellular,jul,unknown,1,unpref
2121,7,472,1,6,1,services,married,secondary,no,no,no,cellular,jun,failure,1,yes
2696,11,213,1,6,0,blue-collar,single,secondary,no,yes,no,cellular,may,unknown,1,unpref
-257,29,0,3,0,0,management,married,tertiary,no,no,yes,cellular,jul,unknown,1,unpref
-1339,15,109,7,1,0,technician,divorced,tertiary,no,yes,yes,unknown,may,unknown,1,unpref
3322,14,191,3,0,0,services,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
551,19,101,12,0,0,technician,married,secondary,no,no,yes,cellular,aug,unknown,1,unpref
812,8,177,5,0,0,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
5036,26,367,8,0,0,technician,married,tertiary,no,no,no,cellular,nov,unknown,1,unpref
2279,25,134,1,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
-7781,18,567,1,0,0,student,divorced,secondary,no,no,no,cellular,jan,unknown,unpriv,unpref
1046,23,183,2,0,0,blue-collar,married,primary,no,no,no,cellular,aug,unknown,1,unpref
5490,27,164,1,0,0,blue-collar,married,primary,no,no,no,unknown,may,unknown,1,unpref
1031,4,210,4,0,0,admin.,married,secondary,no,no,no,cellular,jun,unknown,1,yes
305,21,64,1,1,0,blue-collar,divorced,primary,no,yes,no,unknown,may,unknown,1,unpref
-1015,24,174,2,2,0,unemployed,married,secondary,no,no,no,cellular,jul,unknown,1,unpref
-935,4,142,1,1,0,services,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
935,3,170,1,0,0,technician,single,secondary,no,yes,no,cellular,may,unknown,1,unpref
5114,3,33,1,0,0,management,divorced,tertiary,no,yes,no,unknown,may,unknown,1,unpref
1966,2,113,1,0,0,admin.,married,tertiary,no,no,no,unknown,jun,unknown,1,unpref
13,14,202,1,0,0,management,married,tertiary,no,no,no,unknown,jun,unknown,1,unpref
4217,13,72,1,0,0,management,divorced,tertiary,no,no,no,cellular,aug,unknown,1,unpref
558,19,531,1,0,0,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
4995,6,212,11,0,0,blue-collar,married,tertiary,no,yes,no,unknown,jun,unknown,1,unpref
4717,12,631,3,0,0,entrepreneur,married,secondary,no,no,no,cellular,aug,unknown,1,yes
799,25,97,2,0,0,technician,married,secondary,no,no,no,cellular,jul,unknown,1,unpref
3687,7,89,2,0,0,admin.,single,tertiary,no,yes,no,cellular,jul,unknown,1,unpref
708,2,145,1,0,0,blue-collar,married,primary,no,no,no,unknown,jun,unknown,1,unpref
3955,12,298,1,0,0,management,married,tertiary,no,no,yes,telephone,jul,unknown,1,unpref
2746,26,432,1,0,0,management,married,tertiary,no,yes,no,cellular,jul,unknown,unpriv,yes
10216,26,632,1,28,0,management,married,tertiary,no,no,no,telephone,nov,success,1,unpref
824,21,386,1,0,0,admin.,single,tertiary,no,no,no,unknown,may,unknown,1,unpref
74,22,131,1,0,0,entrepreneur,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
1588,8,1,4,0,0,blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,1,unpref
-345,6,185,1,20,0,management,married,tertiary,no,yes,no,cellular,feb,unknown,1,unpref
594,27,73,4,0,0,management,divorced,tertiary,no,no,yes,cellular,jul,unknown,1,unpref
-430,5,103,1,0,0,blue-collar,single,primary,no,no,no,unknown,jun,unknown,1,unpref
3702,10,43,1,0,0,admin.,married,secondary,no,no,yes,telephone,jul,unknown,1,unpref
340,10,417,2,0,0,management,single,tertiary,no,yes,no,unknown,may,unknown,1,unpref
-684,1,107,9,0,0,admin.,single,secondary,no,yes,no,unknown,jun,unknown,1,unpref
-1869,19,144,6,0,0,management,married,tertiary,no,yes,no,cellular,jul,unknown,1,unpref
-1923,14,574,1,0,0,admin.,single,secondary,no,yes,yes,cellular,may,unknown,1,unpref
-348,2,18,1,0,0,admin.,married,secondary,no,no,no,cellular,jul,unknown,1,unpref
3499,29,119,10,0,0,technician,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
79,23,172,1,0,0,admin.,married,secondary,no,no,no,unknown,jun,unknown,1,unpref
8099,11,160,2,0,0,blue-collar,married,primary,no,no,no,unknown,jun,unknown,1,unpref
-1114,14,93,1,153,2,blue-collar,married,primary,no,no,no,cellular,apr,other,1,yes
-1989,17,39,3,0,0,entrepreneur,married,secondary,no,no,no,cellular,jul,unknown,1,unpref
-1668,5,21,1,0,0,unknown,married,secondary,no,no,no,cellular,jul,unknown,1,yes
3704,23,277,18,348,3,management,single,secondary,no,yes,no,cellular,jun,other,1,unpref
-549,10,269,1,0,0,blue-collar,married,primary,no,no,yes,unknown,may,unknown,1,unpref
6010,14,112,1,0,0,entrepreneur,married,primary,no,yes,no,cellular,jul,unknown,1,unpref
16902,1,304,1,13,0,management,single,secondary,no,no,no,cellular,feb,other,unpriv,yes
-335,8,218,1,296,9,services,married,secondary,no,yes,no,cellular,may,failure,1,unpref
-210,25,83,1,0,0,technician,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
-1003,11,56,3,0,0,services,single,secondary,no,no,no,telephone,jul,unknown,1,unpref
1336,3,67,1,2,0,unemployed,married,secondary,no,no,no,cellular,feb,unknown,1,unpref
1270,7,270,1,290,3,admin.,married,secondary,no,yes,no,cellular,jul,failure,unpriv,yes
554,9,289,3,279,7,admin.,divorced,tertiary,no,yes,no,cellular,may,failure,1,unpref
131,6,157,1,358,5,technician,single,secondary,no,yes,no,cellular,may,failure,1,unpref
2934,19,1865,1,0,0,management,married,tertiary,no,yes,no,cellular,nov,unknown,1,yes
616,13,256,1,326,7,blue-collar,married,primary,no,yes,no,cellular,may,failure,1,unpref
-186,17,255,1,0,0,technician,married,secondary,no,yes,yes,cellular,jul,unknown,1,unpref
1520,15,284,3,144,3,technician,married,secondary,no,yes,yes,cellular,may,failure,1,unpref
973,7,40,1,3,0,blue-collar,married,primary,no,no,no,unknown,may,unknown,1,unpref
5411,5,29,1,0,0,technician,married,tertiary,no,no,no,cellular,feb,unknown,1,yes
3489,17,41,2,0,0,entrepreneur,married,primary,no,no,yes,unknown,jun,unknown,1,unpref
1047,12,552,2,0,0,technician,married,tertiary,no,no,no,cellular,aug,unknown,1,yes
3371,9,176,2,0,0,management,married,primary,no,yes,no,unknown,may,unknown,1,unpref
5607,16,66,1,0,0,retired,married,secondary,no,no,yes,cellular,aug,unknown,1,unpref
-631,16,475,3,188,15,unemployed,divorced,secondary,no,no,yes,cellular,aug,failure,1,unpref
3127,29,914,1,4,0,technician,divorced,secondary,no,yes,yes,cellular,feb,unknown,1,unpref
-2445,23,51,1,0,0,blue-collar,married,unknown,no,yes,no,unknown,may,unknown,1,unpref
-1154,7,269,4,0,0,entrepreneur,married,tertiary,no,no,no,cellular,may,unknown,1,unpref
1557,24,409,1,0,0,services,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
-48,9,156,1,0,0,blue-collar,married,secondary,no,yes,no,cellular,feb,unknown,1,unpref
973,16,446,2,0,0,management,married,secondary,no,no,yes,cellular,jul,unknown,1,unpref
4055,12,275,1,0,0,blue-collar,married,tertiary,no,no,no,cellular,oct,unknown,1,unpref
2352,8,940,5,0,0,management,married,tertiary,no,yes,no,unknown,may,unknown,unpriv,yes
317,23,166,1,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
-1291,26,54,6,0,0,technician,single,secondary,no,no,no,cellular,aug,unknown,1,unpref
2118,18,343,1,0,0,admin.,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
-1005,17,416,3,0,0,blue-collar,married,primary,no,yes,no,cellular,nov,unknown,1,yes
851,25,180,1,0,0,management,married,tertiary,no,yes,no,unknown,may,unknown,1,unpref
7509,29,183,1,0,0,management,married,secondary,no,no,yes,cellular,jul,unknown,1,unpref
250,30,305,1,0,0,technician,married,secondary,no,yes,yes,unknown,may,unknown,1,unpref
-108,8,404,1,8,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,1,unpref
53,17,295,2,0,0,technician,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
1067,19,47,8,0,0,management,married,tertiary,no,yes,no,cellular,aug,unknown,1,unpref
1285,14,723,1,0,0,management,single,tertiary,no,yes,no,cellular,may,unknown,1,yes
-5120,1,599,1,0,0,retired,single,secondary,yes,no,no,cellular,jul,unknown,unpriv,unpref
3336,12,350,1,335,4,admin.,single,secondary,no,yes,no,cellular,may,failure,1,yes
-619,10,176,2,17,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,1,unpref
614,4,199,1,0,0,management,married,tertiary,no,yes,no,cellular,feb,unknown,1,unpref
5988,21,449,6,0,0,management,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
106,18,64,1,0,0,self-employed,married,secondary,no,yes,no,cellular,jul,unknown,1,unpref
1749,14,579,5,264,7,technician,single,secondary,no,yes,no,cellular,may,failure,1,yes
1631,6,110,3,0,0,admin.,single,primary,no,no,no,unknown,jun,unknown,1,unpref
-213,15,38,1,0,0,admin.,single,secondary,no,no,no,cellular,jul,unknown,1,unpref
-1939,20,26,9,0,0,admin.,single,unknown,no,yes,no,unknown,jun,unknown,1,unpref
4158,28,480,1,0,0,admin.,divorced,secondary,no,yes,no,cellular,feb,unknown,1,unpref
770,10,189,1,1,0,blue-collar,single,secondary,no,yes,no,cellular,may,unknown,unpriv,unpref
-2208,8,8,1,159,4,unemployed,single,tertiary,no,yes,yes,cellular,dec,other,1,unpref
-696,14,367,1,0,0,management,married,tertiary,no,no,no,telephone,feb,unknown,1,unpref
1183,9,301,1,0,0,management,divorced,tertiary,no,no,no,cellular,aug,unknown,unpriv,unpref
3065,15,59,1,151,0,management,married,secondary,no,yes,yes,cellular,apr,failure,1,unpref
-445,15,428,1,0,0,blue-collar,single,secondary,no,no,no,unknown,may,unknown,1,unpref
903,16,130,1,94,1,admin.,divorced,tertiary,no,yes,no,cellular,nov,failure,1,unpref
12500,17,39,1,0,0,technician,married,unknown,no,no,no,cellular,aug,unknown,1,unpref
1278,19,113,2,0,0,blue-collar,married,secondary,no,yes,yes,cellular,jul,unknown,1,unpref
1102,17,651,5,0,0,blue-collar,married,secondary,no,no,no,cellular,nov,unknown,1,yes
1823,12,193,1,3,0,admin.,single,secondary,no,yes,no,cellular,jul,unknown,1,unpref
4411,14,363,2,0,0,management,married,tertiary,no,yes,no,cellular,jul,unknown,1,unpref
885,9,381,1,0,0,blue-collar,divorced,secondary,no,yes,yes,cellular,may,unknown,1,unpref
-53,18,123,7,0,0,technician,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
-29,21,23,5,0,0,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
-1873,19,50,1,0,0,technician,divorced,secondary,yes,no,no,unknown,jun,unknown,1,unpref
-71,9,132,2,0,0,admin.,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
1683,5,59,2,150,0,admin.,single,tertiary,no,yes,no,cellular,may,failure,1,unpref
-93,6,79,1,0,0,management,single,tertiary,no,no,yes,cellular,jul,unknown,1,unpref
840,18,159,1,0,0,blue-collar,married,secondary,no,no,no,telephone,nov,unknown,1,yes
4831,14,186,1,113,1,management,married,tertiary,no,yes,no,cellular,nov,failure,1,unpref
751,17,452,2,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
1638,14,229,1,0,0,admin.,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
1278,8,82,2,0,0,technician,single,tertiary,no,no,no,cellular,aug,unknown,1,unpref
1333,5,552,1,0,0,admin.,single,secondary,no,no,no,unknown,may,unknown,1,unpref
3600,8,171,4,0,0,services,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
185,27,175,1,0,0,blue-collar,single,unknown,yes,yes,yes,cellular,may,unknown,1,unpref
573,13,69,4,0,0,blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,1,unpref
-2209,6,78,2,0,0,self-employed,married,tertiary,no,yes,no,cellular,may,unknown,1,unpref
3296,16,440,1,1,0,services,divorced,secondary,no,yes,yes,unknown,may,unknown,1,unpref
-339,11,294,1,0,0,admin.,divorced,secondary,no,yes,no,cellular,jul,unknown,1,unpref
2540,7,147,1,0,0,management,single,tertiary,no,yes,no,unknown,jun,unknown,1,unpref
3202,10,85,1,299,2,management,married,tertiary,no,yes,no,cellular,may,failure,1,unpref
1260,12,170,1,234,2,management,single,secondary,no,yes,no,cellular,apr,failure,1,unpref
1260,23,470,9,0,0,admin.,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
1056,29,361,3,0,0,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
180,2,153,2,0,0,services,married,primary,no,yes,yes,unknown,jun,unknown,1,unpref
133,5,162,1,79,10,management,single,tertiary,no,yes,no,cellular,may,success,1,unpref
674,20,64,1,0,0,management,single,tertiary,no,yes,no,telephone,jul,unknown,1,unpref
-1260,7,206,1,1,0,blue-collar,married,primary,no,yes,no,cellular,may,unknown,1,yes
729,17,176,16,0,0,retired,married,unknown,no,no,no,cellular,aug,unknown,unpriv,yes
1029,18,0,1,0,0,unknown,single,secondary,no,no,no,telephone,jan,unknown,1,unpref
4142,14,242,1,393,1,technician,married,secondary,no,yes,no,cellular,may,success,1,unpref
6253,25,380,2,0,0,technician,single,tertiary,no,no,no,cellular,aug,unknown,1,unpref
2737,19,227,1,0,0,services,divorced,secondary,no,yes,no,cellular,jul,unknown,1,unpref
-735,29,131,1,0,0,unemployed,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
-811,15,306,1,0,0,blue-collar,married,primary,no,yes,yes,cellular,jul,unknown,1,unpref
1958,1,683,2,0,0,self-employed,single,secondary,no,no,yes,cellular,jun,unknown,1,yes
2049,15,130,1,6,0,blue-collar,married,primary,no,yes,yes,cellular,may,unknown,1,unpref
-838,22,88,4,0,0,blue-collar,married,secondary,yes,no,no,unknown,jun,unknown,1,unpref
1915,17,126,1,0,0,admin.,married,primary,no,yes,no,cellular,jul,unknown,1,unpref
93,18,33,1,0,0,unemployed,single,tertiary,no,no,no,cellular,feb,unknown,unpriv,unpref
113,14,250,1,0,0,retired,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
3232,8,76,1,0,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,1,unpref
3456,11,148,1,29,6,management,married,tertiary,no,no,no,cellular,nov,failure,1,yes
1434,6,131,1,302,1,admin.,single,secondary,no,yes,no,telephone,apr,failure,1,unpref
-4430,8,95,1,1,0,technician,divorced,secondary,no,yes,no,unknown,may,unknown,1,unpref
3104,7,527,1,0,0,management,married,secondary,no,no,no,cellular,apr,unknown,1,unpref
2691,11,212,2,2,0,blue-collar,married,secondary,no,no,yes,cellular,jul,unknown,1,yes
1038,3,134,1,0,0,technician,single,secondary,no,yes,no,cellular,nov,unknown,1,unpref
2436,1,140,2,0,0,blue-collar,single,primary,no,yes,no,unknown,jun,unknown,1,unpref
6976,16,176,1,0,0,admin.,married,secondary,no,no,no,unknown,jun,unknown,1,unpref
2117,28,159,2,1,0,management,married,tertiary,no,no,no,cellular,jul,unknown,1,unpref
1018,27,223,5,6,0,unemployed,divorced,secondary,no,yes,no,telephone,jul,unknown,1,unpref
-664,14,204,1,0,0,blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,1,unpref
961,6,172,1,0,0,management,single,tertiary,no,yes,no,cellular,feb,unknown,1,unpref
10812,21,298,2,0,0,retired,married,primary,no,no,no,telephone,aug,unknown,unpriv,unpref
-25,18,236,1,0,0,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
1529,16,37,1,348,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,1,unpref
-4539,6,199,1,3,0,technician,single,tertiary,no,yes,yes,unknown,may,unknown,1,unpref
-1180,6,175,1,0,0,services,married,unknown,no,yes,no,cellular,may,unknown,1,unpref
3183,15,200,1,0,0,blue-collar,single,secondary,no,yes,no,unknown,jun,unknown,1,unpref
2228,24,186,1,0,0,blue-collar,married,secondary,no,no,no,cellular,jul,unknown,1,unpref
1283,13,247,1,0,0,technician,married,tertiary,no,no,yes,cellular,jul,unknown,1,unpref
-1853,3,290,2,0,0,retired,married,secondary,no,no,no,cellular,jul,unknown,unpriv,yes
2430,1,531,1,0,0,blue-collar,single,secondary,no,yes,yes,unknown,may,unknown,1,unpref
-4099,27,27,1,0,0,blue-collar,single,tertiary,yes,yes,no,unknown,may,unknown,1,unpref
4791,3,115,1,0,0,services,married,primary,no,yes,no,cellular,feb,unknown,1,unpref
3894,6,544,1,0,0,blue-collar,single,secondary,no,no,no,unknown,may,unknown,1,yes
2585,15,247,2,0,0,housemaid,married,primary,no,no,no,cellular,aug,unknown,1,unpref
-2951,3,643,1,0,0,admin.,single,secondary,no,no,no,telephone,nov,unknown,1,yes
1477,16,166,1,0,0,management,single,tertiary,no,yes,no,cellular,may,unknown,1,unpref
2906,7,292,2,3,0,admin.,single,tertiary,no,no,no,cellular,feb,unknown,1,yes
376,9,300,4,0,0,admin.,divorced,secondary,no,no,no,cellular,aug,unknown,unpriv,unpref
-328,10,483,2,0,0,blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,1,unpref
1083,26,713,1,350,0,blue-collar,married,unknown,no,no,no,cellular,nov,failure,unpriv,yes
4538,9,156,2,0,0,blue-collar,married,primary,no,no,no,unknown,jun,unknown,1,unpref
182,17,102,1,0,0,blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,1,unpref
5135,19,40,6,0,0,management,married,tertiary,no,no,yes,cellular,aug,unknown,1,unpref
-2887,6,242,2,0,0,admin.,single,secondary,no,no,no,cellular,jul,unknown,1,unpref
1051,13,98,1,0,0,housemaid,married,primary,no,yes,no,unknown,may,unknown,1,unpref
44,28,573,5,0,0,blue-collar,married,primary,no,no,no,cellular,jul,unknown,1,unpref
-1011,14,56,1,0,0,technician,single,primary,no,yes,no,unknown,may,unknown,1,unpref
-1561,30,270,4,0,0,admin.,married,secondary,no,no,no,cellular,jul,unknown,1,unpref
4941,6,77,1,215,0,technician,single,secondary,no,yes,no,cellular,mar,other,1,unpref
1696,9,98,1,83,9,technician,divorced,secondary,no,yes,no,cellular,nov,other,1,unpref
713,7,882,1,0,0,retired,married,unknown,no,no,no,cellular,feb,unknown,1,unpref
-7,27,85,1,3,0,admin.,married,secondary,no,yes,no,cellular,apr,unknown,1,unpref
-353,16,71,2,2,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1,unpref
-7940,1,133,1,0,0,entrepreneur,divorced,primary,no,yes,no,cellular,aug,unknown,unpriv,yes
2649,8,481,1,0,0,management,married,tertiary,no,no,no,cellular,apr,unknown,1,yes
7135,14,150,3,0,0,blue-collar,married,primary,no,yes,no,unknown,jun,unknown,1,unpref
917,17,345,11,0,0,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
1916,11,168,2,0,0,technician,divorced,secondary,no,yes,no,unknown,jun,unknown,1,unpref
-1876,15,45,2,0,0,admin.,single,secondary,no,yes,no,cellular,jul,unknown,unpriv,unpref
1218,14,435,3,0,0,blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,1,unpref
4111,2,60,1,0,0,management,single,tertiary,no,no,no,cellular,apr,unknown,1,unpref
2316,4,356,2,0,0,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
-720,26,224,2,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
7995,20,194,5,0,0,blue-collar,married,primary,no,yes,no,unknown,jun,unknown,1,unpref
4908,28,64,10,0,0,management,single,tertiary,no,no,no,cellular,aug,unknown,1,unpref
3220,10,33,6,0,0,management,divorced,tertiary,no,yes,no,cellular,jul,unknown,1,unpref
2018,13,113,1,319,2,technician,married,secondary,no,yes,no,cellular,may,failure,1,unpref
2,2,498,2,0,0,admin.,single,secondary,no,yes,no,cellular,jun,unknown,1,yes
-2052,5,29,1,0,0,management,married,tertiary,no,yes,yes,cellular,aug,unknown,1,unpref
2190,15,126,1,0,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,1,unpref
-179,18,628,2,0,0,blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,1,yes
1363,25,218,1,2,0,blue-collar,married,primary,no,yes,yes,unknown,may,unknown,1,unpref
1130,27,335,2,0,0,technician,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
-257,13,84,1,300,1,management,married,primary,no,yes,no,cellular,may,failure,1,unpref
2721,5,109,2,0,0,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
1262,6,443,1,0,0,blue-collar,single,primary,no,no,yes,cellular,jul,unknown,1,unpref
11862,29,24,1,0,0,blue-collar,divorced,tertiary,no,no,no,cellular,mar,unknown,1,unpref
-50,18,340,4,0,0,services,married,secondary,no,yes,no,cellular,apr,unknown,1,unpref
4470,7,676,1,19,0,management,married,tertiary,no,no,no,telephone,aug,unknown,1,yes
1336,29,81,1,127,0,management,single,tertiary,no,no,no,cellular,jan,failure,1,unpref
676,18,11,3,0,0,technician,divorced,secondary,no,no,yes,unknown,may,unknown,1,unpref
96,9,71,1,0,0,admin.,married,secondary,no,no,no,unknown,jun,unknown,1,unpref
-1493,24,916,3,0,0,technician,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
327,14,255,2,0,0,blue-collar,married,secondary,no,no,no,cellular,nov,unknown,1,unpref
4668,15,299,1,0,0,unemployed,single,unknown,no,no,no,cellular,apr,unknown,1,unpref
-659,14,5,5,2,0,blue-collar,married,secondary,no,yes,no,cellular,aug,unknown,1,unpref
2864,8,139,5,0,0,management,married,tertiary,no,no,no,cellular,jul,unknown,1,unpref
-69,8,70,1,1,0,technician,divorced,tertiary,no,yes,no,unknown,may,unknown,1,unpref
3893,7,13,1,7,0,management,married,tertiary,no,yes,yes,cellular,may,unknown,1,unpref
-518,23,372,2,3,0,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
1125,20,95,5,0,0,admin.,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
5424,21,149,1,0,0,technician,single,tertiary,no,no,no,telephone,nov,unknown,1,unpref
-129,9,82,1,0,0,technician,divorced,secondary,no,no,no,unknown,jun,unknown,1,unpref
2486,10,491,11,140,2,technician,married,tertiary,no,yes,no,unknown,may,unknown,1,yes
1004,1,50,1,16,0,self-employed,single,secondary,no,no,no,telephone,feb,other,1,unpref
4686,6,88,1,0,0,management,married,tertiary,no,no,no,unknown,may,unknown,1,unpref
5164,17,299,1,0,0,technician,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
4056,9,211,1,319,0,technician,married,secondary,no,yes,yes,telephone,may,other,1,unpref
2712,16,941,1,5,0,management,married,tertiary,no,no,no,cellular,jun,failure,unpriv,yes
764,13,305,2,0,0,blue-collar,married,secondary,no,no,yes,cellular,aug,unknown,1,unpref
2510,24,186,7,0,0,technician,divorced,secondary,no,yes,yes,unknown,may,unknown,1,unpref
8386,15,539,1,0,0,retired,married,tertiary,no,no,no,cellular,nov,unknown,unpriv,yes
3829,18,313,1,0,0,technician,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
103,7,329,1,0,0,entrepreneur,married,tertiary,no,yes,no,unknown,may,unknown,1,unpref
780,12,170,4,0,0,blue-collar,single,secondary,no,yes,no,cellular,may,unknown,1,unpref
104,14,82,1,0,0,technician,married,secondary,no,yes,no,unknown,jun,unknown,1,unpref
1158,25,110,12,0,0,self-employed,married,tertiary,no,no,yes,cellular,aug,unknown,1,unpref
-2164,2,30,1,14,0,admin.,married,tertiary,no,no,no,telephone,sep,unknown,1,unpref
