,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc,config
sample_data_medical-VGAN-norm-nofair-FAIR-SWAP-,sample_data_medical-VGAN-norm-nofair-FAIR-SWAP-2.csv,0.494,-0.279,-0.036,-0.026,0.12,0.559,0.44,0.848,0.685,sample_data_medical-VGAN-norm-nofair-FAIR-SWAP-
sample_data,sample_data_0_8_0.csv,0.453,-0.198,-0.009,0.018,0.135,0.545,0.343,0.842,0.643,sample_data
sample_data,sample_data_0_9_0.csv,0.394,-0.131,0.027,0.09,0.148,0.523,0.262,0.836,0.607,sample_data
sample_data,sample_data_1_8_0.csv,0.469,-0.204,-0.008,0.015,0.128,0.6,0.371,0.853,0.661,sample_data
sample_data,sample_data_1_9_0.csv,0.428,-0.203,-0.001,0.031,0.127,0.564,0.394,0.847,0.666,sample_data
sample_data,sample_data_2_8_0.csv,0.478,-0.242,-0.024,-0.009,0.124,0.57,0.408,0.849,0.673,sample_data
sample_data,sample_data_2_9_0.csv,0.588,-0.278,-0.057,-0.062,0.134,0.565,0.342,0.846,0.645,sample_data
sample_data,sample_data_3_8_0.csv,0.773,-0.426,-0.15,-0.215,0.137,0.559,0.326,0.844,0.637,sample_data
sample_data,sample_data_3_9_0.csv,0.659,-0.362,-0.099,-0.122,0.136,0.525,0.345,0.838,0.641,sample_data
sample_data,sample_data_7_9_0.csv,0.461,-0.238,-0.019,0.009,0.131,0.518,0.383,0.837,0.655,sample_data
sample_data,sample_data_8_9_0.csv,0.586,-0.199,-0.045,-0.059,0.146,0.588,0.255,0.845,0.61,sample_data
sample_data,sample_data_9_9_0.csv,0.709,-0.424,-0.111,-0.118,0.139,0.497,0.338,0.832,0.634,sample_data
sample_data_medical_VGAN-NORM_all.csv,sample_data_medical_VGAN-NORM_all.csv,0.537,-0.263,-0.034,-0.022,0.125,0.595,0.392,0.853,0.669,sample_data_medical_VGAN-NORM_all.csv
Base,Base,0.033,0.024,0.092,0.133,0.116,0.383,0.591,0.772,0.7,Base
Base,Base,0.013,-0.012,0.088,0.13,0.106,0.373,0.669,0.756,0.721,Base
Base,Base,0.042,0.038,0.103,0.149,0.111,0.361,0.642,0.749,0.707,Base
Base,Base,0.013,-0.012,0.084,0.122,0.108,0.374,0.65,0.759,0.715,Base
Base,Base,0.021,-0.016,0.08,0.118,0.113,0.412,0.587,0.79,0.709,Base
Base,Base,0.069,0.06,0.106,0.142,0.11,0.377,0.639,0.763,0.713,Base
2,sample_data_naive2_medical-VGAN-norm_RACE_1.csv,0.501,-0.233,-0.027,-0.016,0.129,0.575,0.371,0.848,0.658,sample_data_naive2_medical-VGAN-norm_RACE
2,sample_data_naive2_medical-VGAN-norm_RACE_2.csv,0.548,-0.267,-0.045,-0.044,0.129,0.574,0.371,0.848,0.658,sample_data_naive2_medical-VGAN-norm_RACE
2,sample_data_naive2_medical-VGAN-norm_RACE_3.csv,0.475,-0.194,-0.015,-0.003,0.131,0.601,0.348,0.852,0.651,sample_data_naive2_medical-VGAN-norm_RACE
2,sample_data_naive2_medical-VGAN-norm_RACE_4.csv,0.513,-0.22,-0.022,-0.005,0.132,0.589,0.347,0.85,0.649,sample_data_naive2_medical-VGAN-norm_RACE
2,sample_data_naive2_medical-VGAN-norm_RACE_5.csv,0.489,-0.219,-0.025,-0.015,0.131,0.576,0.361,0.848,0.654,sample_data_naive2_medical-VGAN-norm_RACE
2,sample_data_naive2_medical-VGAN-norm_RACE_6.csv,0.497,-0.229,-0.021,-0.005,0.128,0.584,0.374,0.85,0.66,sample_data_naive2_medical-VGAN-norm_RACE
