age,age_cat,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,c_charge_degree,two_year_recid,sex,race
58,Greater than 45,0,1,0,0,0,28.38104248046875,25.90802001953125,-72.61962890625,18.11054039001465,F,0,Male,Caucasian
29,25 - 45,0,4,0,0,1,-98.58749389648438,5.5965776443481445,58.127471923828125,32.20429611206055,F,0,Female,Other
22,Less than 25,0,9,0,0,12,43.71710205078125,9.169514656066895,412.00653076171875,30.772075653076172,M,1,Male,Other
28,25 - 45,0,3,0,0,0,99.53643798828125,4.76021671295166,-138.787841796875,30.644718170166016,F,0,Male,Other
39,25 - 45,0,2,0,0,1,-139.82305908203125,8.525423049926758,333.2818603515625,20.931692123413086,F,1,Male,Caucasian
58,Greater than 45,0,1,0,0,0,31.58673095703125,25.9732723236084,-67.00086975097656,17.64756202697754,F,0,Male,Caucasian
56,Greater than 45,0,1,0,0,0,24.03955078125,25.06743621826172,-38.3865966796875,16.972017288208008,F,0,Male,Caucasian
29,Less than 25,0,5,0,0,1,-132.1954345703125,5.282556056976318,118.3818359375,33.22769546508789,F,0,Female,Other
28,Less than 25,0,5,0,0,1,-137.53591918945312,4.9178924560546875,134.80023193359375,33.32672882080078,F,0,Female,Other
23,25 - 45,0,8,0,0,11,29.621551513671875,8.973183631896973,308.815185546875,27.469362258911133,M,1,Male,Other
22,Less than 25,0,9,0,0,12,42.772674560546875,8.902989387512207,401.35406494140625,29.164457321166992,M,1,Male,Other
38,25 - 45,0,1,0,0,1,-145.39678955078125,10.759786605834961,290.50384521484375,39.253440856933594,F,1,Male,Caucasian
28,Less than 25,0,5,0,0,1,-133.59344482421875,5.05495548248291,126.66253662109375,33.3734130859375,F,0,Female,Other
58,Greater than 45,0,1,0,0,0,31.990570068359375,26.0965518951416,-68.740478515625,17.651639938354492,F,0,Male,Caucasian
28,Less than 25,0,5,0,0,1,-134.95733642578125,5.125814437866211,127.83285522460938,33.365028381347656,F,0,Female,Other
29,25 - 45,0,2,0,0,0,135.41729736328125,4.307082653045654,-160.1099395751953,29.519338607788086,F,0,Male,Other
52,Greater than 45,0,1,0,0,0,23.23583984375,22.399581909179688,-24.26483154296875,17.91791534423828,F,0,Male,Caucasian
23,Less than 25,0,8,0,0,10,53.882781982421875,10.126477241516113,389.9954833984375,36.559871673583984,M,1,Male,Other
22,Less than 25,0,9,0,0,12,36.114349365234375,8.813907623291016,378.9798583984375,26.154985427856445,M,1,Male,Other
28,Less than 25,0,5,0,0,1,-142.83804321289062,4.780218124389648,145.614501953125,33.220218658447266,F,0,Female,Other
28,Less than 25,0,5,0,0,1,-132.48590087890625,5.115912437438965,127.07965087890625,33.11982727050781,F,0,Female,Other
56,Greater than 45,0,1,0,0,0,19.722381591796875,27.20700454711914,-69.32412719726562,18.97576332092285,F,0,Male,Caucasian
22,Less than 25,0,9,0,0,10,62.348907470703125,10.304999351501465,372.33489990234375,37.721736907958984,M,1,Male,Other
24,25 - 45,0,6,0,0,5,77.9892578125,7.492892265319824,35.06341552734375,27.867074966430664,M,1,Male,Other
24,25 - 45,0,6,0,0,3,82.40899658203125,5.993588447570801,-32.361114501953125,26.171981811523438,M,1,Male,Other
28,Less than 25,0,4,0,0,1,-119.48870849609375,5.505501747131348,97.76022338867188,32.50478744506836,F,0,Female,Other
51,25 - 45,0,1,0,0,0,-15.58905029296875,17.488107681274414,45.35693359375,16.90085792541504,F,0,Male,Caucasian
29,25 - 45,0,4,0,0,1,-106.13186645507812,5.6902055740356445,61.94610595703125,32.18775177001953,F,0,Female,Other
49,25 - 45,0,1,0,0,0,-14.058837890625,17.2542724609375,46.49053955078125,17.66840934753418,F,0,Male,Caucasian
44,25 - 45,0,1,0,0,0,-117.76495361328125,7.70329475402832,231.56396484375,16.189054489135742,F,1,Male,Caucasian
25,25 - 45,0,4,0,0,1,132.4224853515625,4.6621856689453125,-116.05636596679688,27.605785369873047,M,1,Male,Other
46,25 - 45,0,1,0,0,0,-79.3770751953125,10.241778373718262,143.79104614257812,16.609882354736328,F,1,Male,Caucasian
22,Less than 25,0,8,0,0,10,46.39337158203125,8.862950325012207,392.148681640625,33.59368133544922,M,1,Male,Other
22,Less than 25,0,8,0,0,9,59.24884033203125,10.027314186096191,357.05340576171875,38.80836486816406,M,1,Male,Other
29,25 - 45,0,4,0,0,1,-30.089935302734375,6.136222839355469,-35.4957275390625,31.0181827545166,F,0,Female,Other
53,Greater than 45,0,1,0,0,0,4.256591796875,21.165130615234375,14.048004150390625,16.970203399658203,F,0,Male,Caucasian
22,Less than 25,0,8,0,0,7,34.362060546875,9.469752311706543,289.46710205078125,29.567380905151367,M,1,Male,Other
29,25 - 45,0,3,0,0,0,112.52728271484375,4.589242458343506,-146.41517639160156,30.33176040649414,F,0,Male,Other
23,25 - 45,0,8,0,0,12,38.179473876953125,8.936235427856445,360.70831298828125,28.513158798217773,M,1,Male,Other
22,Less than 25,0,8,0,0,5,35.87567138671875,11.677321434020996,175.20645141601562,31.948444366455078,M,1,Male,Other
48,25 - 45,0,1,0,0,0,-33.19708251953125,15.120149612426758,73.77828979492188,17.27613639831543,F,1,Male,Caucasian
27,25 - 45,0,3,0,0,0,141.79931640625,4.483520030975342,-153.6461181640625,29.36977195739746,M,0,Male,Other
29,25 - 45,0,4,0,0,1,-46.550262451171875,6.30629825592041,-18.92071533203125,31.270179748535156,F,0,Female,Other
29,Less than 25,0,5,0,0,1,-137.39239501953125,4.976872444152832,132.25772094726562,33.47924041748047,F,0,Female,Other
49,25 - 45,0,1,0,0,0,-9.954620361328125,17.627561569213867,38.8446044921875,17.473520278930664,F,0,Male,Caucasian
58,Greater than 45,0,1,0,0,0,28.99951171875,26.28247833251953,-69.22048950195312,17.89230728149414,F,0,Male,Caucasian
25,25 - 45,0,4,0,0,1,128.1190185546875,5.006919860839844,-102.06907653808594,27.97471809387207,M,1,Male,Other
24,25 - 45,0,7,0,0,7,44.346405029296875,8.314786911010742,167.97125244140625,27.65178871154785,M,1,Male,Other
28,25 - 45,0,3,0,0,0,131.04315185546875,4.467939376831055,-154.7957305908203,29.823911666870117,F,0,Male,Other
52,Greater than 45,0,1,0,0,0,-5.434783935546875,19.693323135375977,28.9569091796875,16.890207290649414,F,0,Male,Caucasian
55,Greater than 45,0,1,0,0,0,20.02301025390625,23.883663177490234,-15.7611083984375,16.60512351989746,F,0,Male,Caucasian
56,Greater than 45,0,1,0,0,0,8.383026123046875,26.190288543701172,-58.333221435546875,19.191049575805664,F,0,Male,Caucasian
26,25 - 45,0,3,0,0,1,133.1641845703125,4.484868049621582,-110.25296020507812,28.195669174194336,M,1,Male,Other
29,25 - 45,0,4,0,0,1,-100.91119384765625,5.627254009246826,56.94561767578125,32.27817153930664,F,0,Female,Other
55,Greater than 45,0,1,0,0,0,30.1661376953125,23.600624084472656,-35.926513671875,16.96136474609375,F,0,Male,Caucasian
42,25 - 45,0,1,0,0,1,-136.09518432617188,7.341381072998047,262.44427490234375,17.134727478027344,F,1,Male,Caucasian
29,Less than 25,0,5,0,0,1,-136.51422119140625,5.0529069900512695,130.53790283203125,33.5123291015625,F,0,Female,Other
29,25 - 45,0,3,0,0,0,17.207275390625,6.077512264251709,-85.08869934082031,30.88085174560547,F,0,Male,Other
25,25 - 45,0,5,0,0,2,113.53265380859375,5.1990814208984375,-81.86244201660156,26.82259750366211,M,1,Male,Other
22,Less than 25,0,8,0,0,8,36.641845703125,8.47264289855957,320.70794677734375,31.610105514526367,M,1,Male,Other
45,25 - 45,0,1,0,0,0,-117.01055908203125,7.919465065002441,205.36083984375,16.212169647216797,F,1,Male,Caucasian
37,25 - 45,0,2,0,0,1,-141.40371704101562,11.713712692260742,307.1636962890625,38.184940338134766,F,1,Male,Caucasian
23,25 - 45,0,8,0,0,12,31.2130126953125,8.71307373046875,341.60186767578125,26.8380069732666,M,1,Male,Other
29,Less than 25,0,5,0,0,1,-133.88357543945312,5.141754627227783,123.08462524414062,33.57555389404297,F,0,Female,Other
38,25 - 45,0,1,0,0,1,-146.2496337890625,9.044707298278809,317.15618896484375,28.03409194946289,F,1,Male,Caucasian
57,Greater than 45,0,1,0,0,0,7.00714111328125,26.026161193847656,-53.8892822265625,18.8581485748291,F,0,Male,Caucasian
24,25 - 45,0,7,0,0,8,52.866058349609375,8.999870300292969,177.0428466796875,28.14354705810547,M,1,Male,Other
58,Greater than 45,0,1,0,0,0,29.8936767578125,26.823741912841797,-74.16563415527344,17.981821060180664,F,0,Male,Caucasian
29,25 - 45,0,3,0,0,0,2.81390380859375,6.446758270263672,-72.43496704101562,30.900341033935547,F,0,Male,Other
57,Greater than 45,0,1,0,0,0,24.06353759765625,25.519025802612305,-65.23300170898438,18.245376586914062,F,0,Male,Caucasian
58,Greater than 45,0,1,0,0,0,28.7801513671875,26.35669708251953,-65.85479736328125,17.66954231262207,F,0,Male,Caucasian
29,Less than 25,0,4,0,0,1,-122.8504638671875,5.330771446228027,101.06512451171875,33.01127624511719,F,0,Female,Other
23,Less than 25,0,9,0,0,12,40.25628662109375,8.91657543182373,364.18475341796875,29.092391967773438,M,1,Male,Other
58,Greater than 45,0,1,0,0,0,35.367218017578125,26.29823875427246,-61.2099609375,16.7852840423584,F,0,Male,Caucasian
29,Less than 25,0,5,0,0,1,-135.85586547851562,5.027711868286133,129.32351684570312,33.453861236572266,F,0,Female,Other
58,Greater than 45,0,1,0,0,0,26.8447265625,26.16617202758789,-68.24493408203125,18.01535987854004,F,0,Male,Caucasian
24,25 - 45,0,5,0,0,2,99.96820068359375,5.764945983886719,-57.42149353027344,26.82599639892578,M,1,Male,Other
49,25 - 45,0,1,0,0,0,-35.384368896484375,14.597360610961914,75.74896240234375,16.945728302001953,F,1,Male,Caucasian
22,Less than 25,0,9,0,0,12,37.932281494140625,8.899592399597168,387.11077880859375,26.72016716003418,M,1,Male,Other
25,25 - 45,0,5,0,0,2,113.43426513671875,5.442909240722656,-74.86466979980469,27.202634811401367,M,1,Male,Other
28,25 - 45,0,3,0,0,0,150.35394287109375,4.163765907287598,-161.5254669189453,29.10666847229004,M,0,Male,Other
55,Greater than 45,0,1,0,0,0,-3.760711669921875,26.476652145385742,-51.371246337890625,19.74875259399414,F,0,Male,Caucasian
22,Less than 25,0,8,0,0,9,43.40447998046875,9.045443534851074,363.12579345703125,34.80472183227539,M,1,Male,Other
58,Greater than 45,0,1,0,0,0,24.130218505859375,26.35008430480957,-68.21784973144531,18.26169204711914,F,0,Male,Caucasian
22,Less than 25,0,8,0,0,6,64.12466430664062,11.424723625183105,248.168212890625,40.784690856933594,M,1,Male,Other
22,Less than 25,0,9,0,0,12,38.835662841796875,8.317770004272461,398.57672119140625,23.162961959838867,M,1,Male,Other
59,Greater than 45,0,1,0,0,0,41.202728271484375,20.945995330810547,-70.92100524902344,17.556007385253906,F,0,Male,Caucasian
57,Greater than 45,0,1,0,0,0,36.266021728515625,20.012861251831055,-56.582305908203125,17.093029022216797,F,0,Male,Caucasian
24,25 - 45,0,5,0,0,2,105.6370849609375,5.145654201507568,-66.36259460449219,25.74775505065918,M,1,Male,Other
28,Less than 25,0,5,0,0,1,-142.746337890625,4.890109539031982,134.65045166015625,32.802337646484375,F,0,Female,Other
39,25 - 45,0,1,0,0,1,-141.146240234375,6.825403213500977,322.79425048828125,19.121023178100586,F,1,Male,Caucasian
58,Greater than 45,0,1,0,0,0,32.61077880859375,20.72818946838379,-71.88265991210938,18.24854850769043,F,0,Male,Caucasian
28,Less than 25,0,5,0,0,1,-144.03466796875,4.828361988067627,130.70819091796875,32.71962356567383,F,0,Female,Other
28,Less than 25,0,5,0,0,1,-150.03314208984375,4.877781391143799,150.02993774414062,32.707157135009766,F,0,Female,Other
22,Less than 25,0,9,0,0,11,27.3475341796875,8.917743682861328,353.75506591796875,19.819231033325195,M,1,Male,Other
28,Less than 25,0,5,0,0,1,-137.8681640625,4.957625865936279,127.15219116210938,32.80958938598633,F,0,Female,Other
22,Less than 25,0,9,0,0,11,47.0302734375,8.065478324890137,400.75677490234375,24.719593048095703,M,1,Male,Other
26,25 - 45,0,7,0,4,1,16.68377685546875,68.31580352783203,248.44708251953125,181.73855590820312,F,1,Male,Caucasian
27,25 - 45,0,3,0,0,0,157.51947021484375,4.013547897338867,-159.2019805908203,28.34954261779785,M,0,Male,Other
28,Less than 25,0,5,0,0,1,-141.061767578125,4.979136943817139,138.32681274414062,32.82817077636719,F,0,Female,Other
35,25 - 45,0,3,0,0,1,-124.62091064453125,14.023193359375,309.66168212890625,39.46736526489258,F,1,Male,Caucasian
25,25 - 45,0,3,0,0,1,142.62835693359375,4.386405944824219,-131.78160095214844,27.56998062133789,M,1,Male,Other
22,Less than 25,0,9,0,0,10,35.946990966796875,8.571499824523926,347.60406494140625,20.465087890625,M,1,Male,Other
50,25 - 45,0,1,0,0,0,8.460296630859375,15.842071533203125,10.227020263671875,17.790782928466797,F,0,Male,Caucasian
58,Greater than 45,0,1,0,0,0,4.149627685546875,21.875139236450195,-53.35133361816406,19.172239303588867,F,0,Male,Caucasian
55,Greater than 45,0,1,0,0,0,34.45281982421875,18.998733520507812,-43.18572998046875,17.368595123291016,F,0,Male,Caucasian
56,Greater than 45,0,1,0,0,0,38.686981201171875,20.378280639648438,-75.79878234863281,18.29047393798828,F,0,Male,Caucasian
56,Greater than 45,0,1,0,0,0,-17.048614501953125,19.5361328125,-40.859893798828125,20.294898986816406,F,0,Male,Caucasian
27,25 - 45,0,3,0,0,0,144.6741943359375,4.105917930603027,-157.5172576904297,28.630321502685547,M,0,Male,Other
43,25 - 45,0,1,0,0,1,-109.70840454101562,7.194181442260742,212.317138671875,16.279701232910156,F,1,Male,Caucasian
23,25 - 45,0,8,0,0,13,25.154693603515625,8.81096076965332,347.09930419921875,25.761804580688477,M,1,Male,Other
49,25 - 45,0,1,0,0,0,-35.363983154296875,11.078390121459961,71.80056762695312,16.593339920043945,F,1,Male,Caucasian
28,Less than 25,0,5,0,0,1,-144.69467163085938,4.830015182495117,136.80670166015625,32.76222610473633,F,0,Female,Other
22,Less than 25,0,8,0,0,6,33.041351318359375,10.273244857788086,218.36431884765625,21.762924194335938,M,1,Male,Other
24,25 - 45,0,6,0,0,4,88.0208740234375,6.2228779792785645,3.30157470703125,26.501028060913086,M,1,Male,Other
28,25 - 45,0,4,0,0,1,-66.75131225585938,5.3251824378967285,13.08514404296875,30.970365524291992,F,0,Female,Other
43,25 - 45,0,1,0,0,1,-111.27517700195312,7.138562202453613,216.261962890625,16.366270065307617,F,1,Male,Caucasian
28,Less than 25,0,5,0,0,1,-142.7987060546875,4.848075866699219,139.35040283203125,32.756107330322266,F,0,Female,Other
28,25 - 45,0,3,0,0,0,133.890869140625,4.145130157470703,-154.9478759765625,29.0543212890625,M,0,Male,Other
24,25 - 45,0,7,0,0,8,63.035491943359375,8.550474166870117,140.81869506835938,27.049667358398438,M,1,Male,Other
29,25 - 45,0,4,0,3,1,-53.052215576171875,44.26499557495117,209.14645385742188,137.66883850097656,F,1,Male,Caucasian
48,25 - 45,0,1,0,0,0,-33.713836669921875,11.773896217346191,73.07785034179688,17.33777618408203,F,1,Male,Caucasian
28,Less than 25,0,5,0,0,1,-147.81558227539062,4.90482759475708,143.150634765625,32.76925277709961,F,0,Female,Other
24,25 - 45,0,8,0,0,10,40.95159912109375,8.73728084564209,267.7537841796875,26.91460418701172,M,1,Male,Other
49,Greater than 45,0,2,0,0,0,-61.87982177734375,18.413028717041016,-24.07147216796875,22.809213638305664,F,0,Male,Caucasian
43,25 - 45,0,1,0,0,1,-116.77670288085938,7.210085868835449,222.0479736328125,16.564559936523438,F,1,Male,Caucasian
23,25 - 45,0,9,0,0,13,33.1064453125,8.855402946472168,362.62884521484375,25.755685806274414,M,1,Male,Other
24,25 - 45,0,7,0,0,8,61.5361328125,8.80591106414795,158.08828735351562,27.044456481933594,M,1,Male,Other
22,Less than 25,0,9,0,0,9,30.4866943359375,9.152729034423828,294.03961181640625,19.46434783935547,M,1,Male,Other
22,25 - 45,0,9,0,0,13,35.822052001953125,8.641550064086914,350.66851806640625,25.529294967651367,M,1,Male,Other
27,25 - 45,0,3,0,0,0,142.36602783203125,4.160980224609375,-156.6337890625,28.721420288085938,M,0,Male,Other
22,Less than 25,0,9,0,0,12,36.921844482421875,8.133155822753906,392.82373046875,22.496028900146484,M,1,Male,Other
22,Less than 25,0,9,0,0,12,35.443634033203125,8.141854286193848,390.41448974609375,22.431442260742188,M,1,Male,Other
28,25 - 45,0,4,0,0,1,-110.80300903320312,5.188442707061768,78.04653930664062,31.813608169555664,F,0,Female,Other
54,Greater than 45,0,1,0,0,0,-10.173126220703125,22.886428833007812,-53.73170471191406,20.853282928466797,F,0,Male,Caucasian
55,Greater than 45,0,1,0,0,0,1.150054931640625,21.471515655517578,-54.61564636230469,20.012081146240234,F,0,Male,Caucasian
58,Greater than 45,0,1,0,0,0,27.622955322265625,21.25611686706543,-66.70716857910156,18.435508728027344,F,0,Male,Caucasian
36,25 - 45,0,2,0,0,1,-133.28616333007812,10.160909652709961,341.9200439453125,28.65887451171875,F,1,Male,Caucasian
22,Less than 25,0,9,0,0,13,46.809326171875,8.352399826049805,385.0821533203125,25.112319946289062,M,1,Male,Other
28,25 - 45,0,4,0,0,1,-52.272125244140625,5.512618064880371,-12.849273681640625,30.816946029663086,F,0,Female,Other
57,Greater than 45,0,1,0,0,0,44.548065185546875,19.750398635864258,-68.39802551269531,17.39556312561035,F,0,Male,Caucasian
57,Greater than 45,0,1,0,0,0,40.219024658203125,19.682666778564453,-50.03863525390625,16.730669021606445,F,0,Male,Caucasian
54,Greater than 45,0,1,0,0,0,-33.390350341796875,18.115522384643555,-31.078887939453125,20.54848289489746,F,0,Male,Caucasian
25,25 - 45,0,4,0,0,1,132.26715087890625,4.51937198638916,-102.78578186035156,26.894887924194336,M,1,Male,Other
28,Less than 25,0,5,0,0,1,-153.92132568359375,4.769130229949951,152.2540283203125,32.55192565917969,F,0,Female,Other
28,25 - 45,0,4,0,0,1,-65.54083251953125,5.412844181060791,6.86956787109375,30.951784133911133,F,0,Female,Other
25,25 - 45,0,4,0,0,1,140.56903076171875,4.340832233428955,-121.55734252929688,27.102243423461914,M,1,Male,Other
27,25 - 45,0,6,0,3,1,3.989837646484375,63.25531768798828,257.374755859375,166.9420623779297,F,1,Male,Caucasian
23,25 - 45,0,8,0,0,11,51.888275146484375,9.44861888885498,270.754150390625,27.613943099975586,M,1,Male,Other
54,Greater than 45,0,1,0,0,0,26.672943115234375,17.68010711669922,-19.215118408203125,16.966577529907227,F,0,Male,Caucasian
39,25 - 45,0,1,0,0,1,-144.70205688476562,6.527932167053223,310.16571044921875,20.025678634643555,F,1,Male,Caucasian
24,25 - 45,0,8,0,0,9,53.09063720703125,8.829255104064941,207.7474365234375,27.09227180480957,M,1,Male,Other
23,25 - 45,0,9,0,0,13,39.6474609375,8.663564682006836,364.86279296875,25.93131446838379,M,1,Male,Other
42,25 - 45,0,1,0,0,1,-125.28854370117188,6.78759241104126,252.25604248046875,16.56206703186035,F,1,Male,Caucasian
24,25 - 45,0,5,0,0,2,113.35003662109375,5.151764392852783,-71.49356079101562,26.513946533203125,M,1,Male,Other
22,Less than 25,0,8,0,0,8,29.1822509765625,8.595059394836426,293.2965087890625,19.826709747314453,M,1,Male,Other
28,25 - 45,0,3,0,0,0,39.413299560546875,5.265088081359863,-101.46682739257812,30.42150115966797,F,0,Male,Other
24,25 - 45,0,7,0,0,7,68.49234008789062,8.244071960449219,110.28628540039062,26.970125198364258,M,1,Male,Other
50,Greater than 45,0,1,0,0,0,23.82421875,15.975433349609375,-23.673187255859375,18.583942413330078,F,0,Male,Caucasian
22,Less than 25,0,9,0,0,13,37.729644775390625,8.581995010375977,388.48626708984375,24.65342140197754,M,1,Male,Other
26,25 - 45,0,3,0,0,0,144.264404296875,4.248929500579834,-144.49374389648438,28.210172653198242,M,0,Male,Other
50,25 - 45,0,1,0,0,0,-26.346527099609375,12.710354804992676,61.434051513671875,16.915136337280273,F,1,Male,Caucasian
53,Greater than 45,0,1,0,0,0,31.1900634765625,17.704816818237305,-30.74066162109375,17.550569534301758,F,0,Male,Caucasian
55,Greater than 45,0,1,0,0,0,30.88189697265625,18.204280853271484,-30.154205322265625,16.763301849365234,F,0,Male,Caucasian
22,Less than 25,0,8,0,0,6,18.985870361328125,10.216079711914062,166.211181640625,15.468866348266602,M,1,Male,Other
35,25 - 45,0,3,0,0,1,-128.01626586914062,11.321967124938965,341.089599609375,29.597068786621094,F,1,Male,Caucasian
28,25 - 45,0,4,0,0,1,-101.48089599609375,5.271719455718994,60.060455322265625,31.718427658081055,F,0,Female,Other
28,Less than 25,0,5,0,0,1,-118.23062133789062,5.075568199157715,93.853271484375,32.09665298461914,F,0,Female,Other
28,25 - 45,0,4,0,0,1,-7.522186279296875,5.727297306060791,-63.96232604980469,30.590782165527344,F,0,Male,Other
23,Less than 25,0,8,0,6,1,126.1502685546875,69.2247085571289,85.56082153320312,281.1175231933594,F,1,Male,Caucasian
55,Greater than 45,0,1,0,0,0,30.898712158203125,18.869361877441406,-36.40087890625,17.051559448242188,F,0,Male,Caucasian
28,25 - 45,0,4,0,0,1,-78.82015991210938,5.583243370056152,21.4591064453125,31.30575942993164,F,0,Female,Other
49,25 - 45,0,1,0,0,0,-45.371124267578125,11.566585540771484,89.09231567382812,17.28542709350586,F,1,Male,Caucasian
58,Greater than 45,0,1,0,0,0,35.229644775390625,20.811161041259766,-61.722930908203125,17.38355255126953,F,0,Male,Caucasian
56,Greater than 45,0,1,0,0,0,31.7142333984375,20.78238868713379,-71.30349731445312,18.468820571899414,F,0,Male,Caucasian
28,25 - 45,0,3,0,0,0,58.13153076171875,4.963250637054443,-113.14994812011719,30.48314094543457,F,0,Male,Other
25,Less than 25,0,7,0,4,1,47.974365234375,75.84659576416016,199.17703247070312,214.26193237304688,F,1,Male,Caucasian
45,25 - 45,0,1,0,0,0,-53.385009765625,10.895986557006836,108.18136596679688,18.590967178344727,F,1,Male,Caucasian
22,Less than 25,0,9,0,0,12,41.648834228515625,7.935405731201172,406.7236328125,23.580163955688477,M,1,Male,Other
28,25 - 45,0,4,0,0,1,-86.7994384765625,5.535584926605225,36.32232666015625,31.260889053344727,F,0,Female,Other
