balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
379,19,26,2,0,0,management,married,tertiary,no,yes,no,unknown,may,unknown,1,unpref
1379,7,181,1,0,0,blue-collar,single,secondary,no,no,no,cellular,may,unknown,1,unpref
987,23,221,2,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
181,13,58,5,0,0,blue-collar,married,unknown,no,no,no,telephone,nov,unknown,1,unpref
1903,9,156,10,0,0,admin.,married,secondary,no,no,yes,cellular,jul,unknown,1,unpref
3343,16,326,4,0,0,services,married,tertiary,no,yes,no,unknown,jun,unknown,1,unpref
1169,26,108,3,0,0,admin.,single,secondary,no,yes,no,cellular,jul,unknown,unpriv,unpref
3974,13,361,1,129,2,management,married,secondary,no,yes,no,cellular,sep,failure,1,yes
1286,28,156,1,0,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1,unpref
711,30,41,2,0,0,self-employed,single,secondary,no,no,no,cellular,apr,unknown,1,yes
1679,7,213,1,0,0,blue-collar,single,secondary,no,yes,no,unknown,jun,unknown,1,unpref
-534,14,285,1,0,0,blue-collar,divorced,secondary,no,yes,no,unknown,may,unknown,1,unpref
2,3,126,1,0,0,housemaid,married,secondary,no,yes,yes,cellular,aug,unknown,1,unpref
1915,4,998,5,323,0,blue-collar,married,secondary,no,no,no,cellular,oct,failure,1,yes
-595,26,100,1,0,0,management,married,tertiary,no,no,no,telephone,jan,unknown,1,unpref
90,12,285,2,0,0,management,single,tertiary,no,yes,no,unknown,may,unknown,1,unpref
687,7,182,5,1,0,entrepreneur,married,secondary,no,no,no,unknown,jun,unknown,1,unpref
-2616,13,153,1,0,0,management,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
3299,17,74,1,0,0,admin.,married,secondary,no,yes,no,cellular,nov,unknown,1,unpref
549,7,194,4,0,0,management,divorced,tertiary,no,yes,yes,unknown,jun,unknown,1,unpref
-1441,8,120,1,1,0,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,unpriv,unpref
697,28,116,1,0,0,retired,divorced,secondary,no,no,no,cellular,jul,unknown,unpriv,unpref
5354,17,200,1,344,2,technician,single,secondary,no,yes,no,cellular,may,other,1,unpref
384,27,1862,2,0,0,management,married,secondary,no,no,no,unknown,may,unknown,1,unpref
-289,23,300,1,0,0,services,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
94,30,113,1,344,3,blue-collar,married,primary,no,yes,no,cellular,aug,failure,1,yes
-2363,17,131,3,0,0,technician,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
-833,17,165,4,3,0,technician,single,tertiary,no,yes,no,unknown,may,unknown,1,unpref
119,27,560,8,0,0,technician,divorced,primary,no,yes,yes,unknown,may,unknown,1,unpref
3644,16,216,3,307,2,blue-collar,married,primary,no,yes,no,cellular,may,failure,1,unpref
1504,15,260,8,35,0,technician,married,secondary,no,no,no,cellular,jul,unknown,1,yes
-2407,10,1,2,0,0,technician,single,secondary,no,yes,no,cellular,may,unknown,1,unpref
-1779,7,91,2,0,0,blue-collar,married,secondary,no,yes,yes,cellular,may,unknown,1,unpref
-2856,29,398,1,4,0,management,single,secondary,no,yes,yes,cellular,jul,unknown,1,unpref
165,3,394,1,0,0,admin.,married,primary,no,no,no,cellular,aug,unknown,1,unpref
2230,12,1041,4,0,0,housemaid,single,tertiary,no,yes,no,cellular,jul,unknown,1,yes
166,7,164,2,7,0,blue-collar,single,secondary,no,yes,no,cellular,apr,failure,1,unpref
9740,23,146,1,0,0,admin.,single,primary,no,no,no,unknown,jun,unknown,1,unpref
2846,5,105,1,0,0,blue-collar,married,primary,no,no,no,unknown,may,unknown,1,yes
1776,6,266,2,0,0,management,single,tertiary,no,yes,no,unknown,jun,unknown,1,unpref
5783,15,149,1,82,3,management,married,tertiary,no,no,no,cellular,nov,failure,1,unpref
125,14,618,1,2,0,technician,married,unknown,no,yes,yes,cellular,jul,unknown,1,unpref
-3715,6,341,1,0,0,technician,single,tertiary,no,no,no,cellular,jul,unknown,1,unpref
1967,20,50,2,338,1,technician,single,tertiary,no,yes,no,cellular,apr,failure,1,unpref
4568,7,101,1,0,0,management,married,tertiary,no,no,no,cellular,nov,unknown,1,yes
-368,27,0,12,0,0,entrepreneur,divorced,unknown,no,no,no,cellular,nov,unknown,1,unpref
2927,9,195,1,0,0,housemaid,single,primary,no,no,no,unknown,jun,unknown,1,unpref
-2696,10,65,1,0,0,management,single,tertiary,no,no,no,cellular,aug,unknown,1,unpref
116,4,103,1,0,0,technician,single,tertiary,no,no,no,cellular,aug,unknown,1,unpref
297,19,157,1,0,0,blue-collar,married,primary,no,yes,no,cellular,nov,unknown,1,unpref
1048,11,378,1,0,0,admin.,divorced,secondary,no,yes,no,unknown,may,unknown,1,unpref
1635,19,153,1,0,0,services,married,secondary,no,no,no,cellular,nov,unknown,1,unpref
5647,12,223,12,0,0,blue-collar,married,primary,no,no,no,cellular,aug,unknown,1,unpref
1096,20,115,2,0,0,management,married,tertiary,no,no,no,cellular,jul,unknown,1,unpref
5488,22,50,1,0,0,management,married,tertiary,no,yes,no,cellular,nov,unknown,1,unpref
3932,24,0,4,210,1,unemployed,married,primary,no,no,no,cellular,aug,other,1,unpref
2330,24,121,2,0,0,management,married,tertiary,no,no,yes,cellular,aug,unknown,1,unpref
1809,12,370,1,0,0,management,divorced,tertiary,no,no,no,cellular,aug,unknown,1,unpref
1490,18,156,1,0,0,management,single,tertiary,no,no,no,cellular,aug,unknown,1,unpref
3550,18,32,1,0,0,management,single,tertiary,no,no,no,cellular,feb,unknown,unpriv,unpref
9526,9,126,1,152,3,unemployed,married,secondary,no,no,no,telephone,aug,success,unpriv,unpref
11062,24,449,1,13,0,retired,married,tertiary,no,no,no,telephone,jan,unknown,unpriv,unpref
-227,11,0,19,0,0,services,divorced,secondary,no,no,no,cellular,aug,unknown,1,unpref
1229,8,230,1,0,0,technician,divorced,secondary,no,no,no,unknown,jun,unknown,1,unpref
36,20,109,1,270,3,technician,married,secondary,no,yes,yes,cellular,nov,failure,1,unpref
7301,4,86,1,0,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1,unpref
391,7,364,1,0,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,1,unpref
1559,19,126,10,0,0,technician,single,tertiary,no,yes,no,cellular,may,unknown,1,unpref
53,26,376,2,0,0,technician,single,secondary,no,no,no,cellular,aug,unknown,1,yes
-1721,17,202,1,128,9,technician,divorced,secondary,no,yes,yes,cellular,nov,failure,1,yes
4250,6,213,1,3,0,blue-collar,married,primary,no,yes,no,cellular,may,unknown,1,unpref
-3140,29,22,1,0,0,blue-collar,married,primary,no,no,no,cellular,jan,unknown,1,unpref
1382,17,291,1,0,0,management,married,tertiary,no,yes,yes,cellular,nov,unknown,1,unpref
1548,3,83,7,0,0,blue-collar,married,primary,no,yes,no,unknown,jun,unknown,1,unpref
1152,11,99,5,0,0,technician,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
2972,15,310,1,0,0,technician,single,tertiary,no,yes,no,unknown,may,unknown,1,unpref
120,2,77,1,0,0,blue-collar,married,secondary,no,no,no,unknown,may,unknown,1,unpref
685,18,585,4,0,0,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
-985,16,48,1,0,0,services,divorced,secondary,no,yes,no,cellular,may,unknown,1,unpref
-1917,3,0,1,0,0,management,single,primary,no,yes,yes,cellular,feb,unknown,1,unpref
1115,6,602,1,0,0,admin.,single,secondary,no,no,no,unknown,jul,unknown,1,unpref
2938,3,356,3,0,0,admin.,single,secondary,no,no,no,telephone,feb,unknown,1,unpref
-808,7,431,2,0,0,admin.,single,secondary,no,no,yes,cellular,jul,unknown,1,unpref
7506,28,77,5,0,0,housemaid,married,tertiary,no,no,no,telephone,jan,unknown,unpriv,unpref
208,21,291,3,17,3,blue-collar,single,secondary,no,no,no,cellular,jun,success,1,unpref
4683,20,28,2,0,0,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
4411,5,143,2,0,0,admin.,married,tertiary,no,yes,yes,unknown,jun,unknown,1,unpref
647,1,401,2,0,0,management,divorced,secondary,no,yes,no,unknown,jun,unknown,1,unpref
1541,20,154,2,219,2,blue-collar,married,secondary,no,yes,yes,telephone,may,failure,1,unpref
304,26,183,1,0,0,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,1,unpref
-837,12,502,1,0,0,housemaid,married,primary,no,yes,no,cellular,jun,unknown,1,yes
-366,28,158,1,0,0,services,single,tertiary,no,no,no,cellular,jul,unknown,1,unpref
-1751,7,106,5,0,0,admin.,single,secondary,no,no,yes,cellular,jul,unknown,1,unpref
1306,21,80,2,0,0,technician,married,tertiary,no,yes,no,unknown,jul,unknown,1,unpref
-485,28,24,1,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
666,17,213,1,0,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1,unpref
1786,23,274,1,0,0,technician,single,tertiary,no,yes,no,cellular,may,unknown,1,unpref
210,26,135,1,0,0,services,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
2947,24,203,3,70,2,management,married,tertiary,no,no,yes,cellular,jul,failure,1,unpref
1841,18,224,1,0,0,blue-collar,single,secondary,no,yes,no,unknown,jun,unknown,1,unpref
-50,4,1519,1,0,0,entrepreneur,single,secondary,no,no,no,cellular,jul,unknown,1,yes
-1278,17,100,1,0,0,management,married,unknown,no,no,no,cellular,jul,unknown,1,unpref
2131,25,345,1,0,0,management,married,secondary,no,yes,no,cellular,jul,unknown,1,unpref
149,12,452,3,253,1,management,married,tertiary,no,yes,yes,cellular,may,other,1,unpref
-975,19,599,1,0,0,management,divorced,unknown,no,yes,no,cellular,jul,unknown,1,unpref
3090,13,214,1,0,0,retired,single,tertiary,no,no,no,cellular,oct,unknown,1,unpref
-3149,1,305,1,131,0,retired,married,primary,no,no,no,telephone,jul,other,unpriv,yes
989,24,23,6,1,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1,unpref
-380,6,116,1,0,0,services,married,tertiary,no,no,no,cellular,jul,unknown,1,unpref
314,16,460,3,256,1,blue-collar,married,secondary,no,yes,no,cellular,may,failure,1,unpref
-13,21,307,4,0,0,retired,single,secondary,no,no,no,cellular,aug,unknown,1,unpref
-138,28,226,4,0,0,services,married,secondary,no,no,no,unknown,may,unknown,1,unpref
-1334,11,405,1,0,0,technician,married,secondary,no,no,yes,cellular,may,unknown,1,unpref
4453,16,224,2,0,0,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
2108,9,74,1,1,0,management,divorced,tertiary,no,yes,no,unknown,may,unknown,1,unpref
3733,25,766,1,0,0,admin.,married,secondary,no,yes,no,cellular,jul,unknown,1,unpref
100,15,355,1,0,0,blue-collar,married,primary,no,no,no,unknown,jun,unknown,1,unpref
-5757,1,1911,1,0,0,unemployed,divorced,secondary,no,no,no,cellular,jul,unknown,1,unpref
1487,10,211,1,0,0,blue-collar,married,secondary,no,yes,no,cellular,feb,unknown,1,unpref
1514,13,294,1,0,0,entrepreneur,single,primary,no,yes,no,cellular,may,unknown,1,unpref
4398,6,302,3,0,0,housemaid,married,secondary,no,no,no,unknown,may,unknown,1,unpref
2543,4,75,4,116,0,management,married,primary,no,yes,no,cellular,may,failure,1,unpref
8470,3,62,1,0,0,admin.,married,secondary,no,no,no,unknown,jun,unknown,1,unpref
1497,7,120,1,325,1,services,single,tertiary,no,yes,no,cellular,may,failure,1,unpref
703,23,224,4,0,0,unknown,married,tertiary,no,no,no,unknown,jun,unknown,1,unpref
788,22,86,5,0,0,admin.,married,primary,no,no,no,cellular,aug,unknown,1,unpref
943,18,184,2,0,0,technician,married,primary,no,no,yes,cellular,jul,unknown,1,unpref
85,14,100,3,301,4,technician,married,secondary,no,yes,yes,cellular,may,other,1,unpref
1200,15,132,1,124,0,technician,single,secondary,no,yes,no,cellular,jan,failure,1,unpref
3351,10,176,2,0,0,blue-collar,married,secondary,no,no,no,cellular,jul,unknown,1,unpref
1986,10,45,2,0,0,services,married,secondary,yes,yes,no,unknown,jun,unknown,1,unpref
3728,4,834,2,7,0,technician,married,tertiary,no,yes,no,unknown,may,unknown,1,yes
13119,17,69,1,119,0,retired,married,primary,no,yes,no,telephone,nov,failure,1,unpref
1537,25,460,3,4,0,services,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
4278,11,809,1,0,0,unknown,married,secondary,no,yes,no,unknown,sep,unknown,1,yes
212,22,120,1,0,0,entrepreneur,married,secondary,no,yes,yes,cellular,nov,unknown,1,unpref
1573,24,0,11,0,0,entrepreneur,divorced,tertiary,no,yes,no,cellular,aug,unknown,1,unpref
-1081,30,657,1,105,0,blue-collar,married,primary,no,no,no,cellular,jan,success,1,unpref
-2707,8,375,4,0,0,management,married,secondary,no,no,no,telephone,jul,unknown,unpriv,unpref
1283,16,91,1,0,0,blue-collar,married,secondary,no,yes,yes,unknown,jun,unknown,1,unpref
-2013,14,25,2,1,0,technician,single,secondary,no,no,yes,telephone,jul,unknown,1,unpref
-796,7,679,1,0,0,blue-collar,divorced,secondary,no,yes,no,unknown,may,unknown,1,unpref
3135,21,375,1,1,0,management,married,tertiary,no,yes,yes,unknown,may,unknown,1,unpref
-1415,19,733,1,1,0,unemployed,single,secondary,no,no,no,cellular,aug,unknown,1,yes
-1801,24,282,1,0,0,management,single,tertiary,no,yes,no,cellular,may,unknown,1,yes
-535,6,515,9,0,0,technician,single,tertiary,no,no,no,unknown,jun,unknown,1,unpref
-2059,16,715,1,0,0,management,married,tertiary,no,yes,no,unknown,may,unknown,1,yes
1986,15,33,9,0,0,housemaid,married,tertiary,no,yes,no,cellular,aug,unknown,1,unpref
-2653,1,479,1,0,0,retired,married,secondary,no,no,no,cellular,jul,unknown,1,unpref
-6081,30,0,1,46,0,entrepreneur,married,tertiary,no,no,yes,cellular,dec,success,unpriv,unpref
-708,2,148,1,0,0,services,married,secondary,no,yes,no,unknown,jun,unknown,1,unpref
770,13,187,4,0,0,blue-collar,single,secondary,no,yes,yes,cellular,jul,unknown,1,unpref
2868,28,155,1,338,3,management,single,tertiary,no,no,no,cellular,apr,other,1,unpref
474,10,418,1,0,0,blue-collar,married,primary,no,no,no,cellular,aug,unknown,1,unpref
5548,17,144,1,190,3,retired,divorced,primary,no,no,no,cellular,nov,failure,1,unpref
-2363,2,345,1,121,1,retired,married,primary,no,no,no,telephone,jul,other,unpriv,yes
2104,14,654,1,0,0,management,married,tertiary,no,yes,no,cellular,apr,unknown,1,unpref
6393,10,208,1,237,1,admin.,single,secondary,no,no,no,cellular,may,failure,1,unpref
12783,27,61,2,0,0,self-employed,married,primary,no,no,no,telephone,nov,unknown,1,unpref
126,13,115,1,0,0,management,single,secondary,no,no,no,unknown,jun,unknown,1,unpref
1993,19,186,1,135,6,blue-collar,single,secondary,no,yes,no,cellular,nov,other,1,unpref
-2096,14,16,2,0,0,admin.,married,secondary,no,yes,no,cellular,may,unknown,1,unpref
119,16,61,1,136,0,management,married,tertiary,no,no,no,cellular,may,failure,1,unpref
317,6,262,1,0,0,blue-collar,single,secondary,no,yes,no,cellular,may,unknown,1,unpref
-312,13,233,1,0,0,blue-collar,single,tertiary,no,yes,no,cellular,nov,unknown,1,unpref
2939,12,178,3,0,0,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
537,11,98,1,1,0,entrepreneur,married,secondary,no,yes,no,cellular,apr,unknown,1,unpref
-192,13,559,1,3,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
3841,13,292,1,332,1,services,single,secondary,no,yes,no,cellular,apr,other,1,unpref
2059,28,213,4,0,0,admin.,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
99,28,123,1,0,0,blue-collar,single,primary,no,yes,yes,unknown,may,unknown,1,unpref
333,24,385,1,0,0,blue-collar,single,unknown,no,no,no,unknown,jun,unknown,1,unpref
-1054,27,119,2,1,0,technician,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
34,15,80,2,112,3,services,married,secondary,no,yes,no,cellular,nov,failure,1,unpref
3626,25,133,2,0,0,blue-collar,married,tertiary,no,no,no,unknown,jun,unknown,1,unpref
2328,9,2,1,0,0,services,married,secondary,no,no,yes,unknown,jun,unknown,1,unpref
851,25,88,1,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
-241,9,166,8,0,0,services,single,secondary,no,yes,yes,unknown,jun,unknown,1,unpref
3945,5,142,1,0,0,management,married,secondary,no,no,no,cellular,may,unknown,1,unpref
2352,21,167,1,0,0,admin.,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
-1003,4,762,1,0,0,blue-collar,divorced,primary,no,yes,no,unknown,may,unknown,1,unpref
282,19,405,5,0,0,management,married,secondary,no,no,no,cellular,nov,unknown,1,unpref
976,27,281,1,0,0,retired,married,primary,no,no,no,cellular,apr,unknown,1,unpref
571,15,179,1,0,0,admin.,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
2046,3,216,1,0,0,services,married,secondary,no,no,no,cellular,jun,unknown,1,unpref
-859,3,176,1,0,0,housemaid,single,primary,no,no,no,cellular,jul,unknown,1,unpref
1,12,242,1,0,0,technician,single,secondary,no,yes,no,cellular,may,unknown,1,unpref
-2850,16,124,8,0,0,technician,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
1917,14,14,5,0,0,services,married,primary,no,no,no,unknown,apr,unknown,1,unpref
-1585,16,35,4,0,0,entrepreneur,married,secondary,no,no,no,cellular,jul,unknown,1,unpref
-1990,8,182,1,1,0,services,single,secondary,no,yes,no,cellular,may,unknown,1,unpref
2281,21,121,6,100,2,technician,single,secondary,no,no,no,cellular,nov,failure,1,unpref
-404,27,1011,2,0,0,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
1163,13,149,1,1,0,technician,single,tertiary,no,no,no,cellular,aug,unknown,1,unpref
-1303,25,69,4,0,0,services,married,secondary,no,no,no,telephone,jul,unknown,1,unpref
-3951,23,230,1,0,0,unknown,single,primary,no,no,no,unknown,jun,unknown,1,unpref
5255,21,131,1,0,0,unemployed,married,secondary,no,no,no,unknown,may,unknown,1,unpref
-213,11,284,1,2,0,technician,single,tertiary,no,yes,yes,cellular,may,unknown,1,yes
1038,13,684,1,219,2,management,married,primary,no,yes,no,cellular,feb,other,1,yes
205,25,126,2,2,0,retired,divorced,primary,no,yes,no,unknown,may,unknown,1,unpref
974,18,192,1,0,0,services,married,secondary,no,yes,no,cellular,jul,unknown,1,unpref
435,4,96,1,3,0,blue-collar,married,primary,no,no,no,cellular,may,unknown,1,unpref
2192,12,345,1,0,0,unemployed,married,secondary,no,no,no,unknown,may,unknown,1,unpref
4271,13,118,2,133,2,management,single,tertiary,no,no,no,cellular,may,failure,1,yes
826,7,461,2,0,0,technician,married,secondary,no,no,no,cellular,aug,unknown,1,yes
1929,2,236,1,0,0,management,married,primary,no,no,no,cellular,may,unknown,1,unpref
-627,16,69,1,0,0,admin.,single,secondary,no,yes,no,cellular,may,unknown,1,unpref
-1241,27,126,1,0,0,management,single,tertiary,no,yes,no,cellular,jul,unknown,1,unpref
-91,19,455,7,0,0,management,married,tertiary,no,no,no,cellular,jul,unknown,1,unpref
1016,18,105,1,0,0,technician,single,secondary,no,yes,yes,cellular,nov,unknown,1,unpref
919,7,43,2,0,0,management,married,secondary,no,yes,no,cellular,aug,unknown,1,unpref
